reporting_entity,iso3_country,climate_trace_sector,Gas,unit,carbon_eq,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inv_to_ct_ratio_2015,inv_to_ct_ratio_2016,inv_to_ct_ratio_2017,inv_to_ct_ratio_2018,inv_to_ct_ratio_2019,inv_to_ct_ratio_2020,inv_to_ct_ratio_2021,inv_to_ct_ratio_2022,sect_ratio_2015,sect_ratio_2016,sect_ratio_2017,sect_ratio_2018,sect_ratio_2019,sect_ratio_2020,sect_ratio_2021,sect_ratio_2022
climate-trace,CHN,electricity-generation,ch4,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,CHN,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,3840241000.0,3729934000.0,3942356000.0,4175686000.0,4251485000.0,4306454000.0,4681927000.0,4723512000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,CHN,electricity-generation,n2o,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,CHN,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,3840241000.0,3729934000.0,3942356000.0,4175686000.0,4251485000.0,4306454000.0,4681927000.0,4723512000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unfccc_non_annex_1,CHN,electricity-generation,ch4,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176000.0,0.0,1344000.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
unfccc_non_annex_1,CHN,electricity-generation,co2,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3425185000.0,0.0,4078222000.0,0.0,3995344000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,CHN,electricity-generation,n2o,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43725000.0,0.0,23585000.0,0.0,59095000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
unfccc_non_annex_1,CHN,electricity-generation,co2e,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3470086000.0,0.0,4103151000.0,0.0,4055839000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
carbon-monitor,CHN,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,,,,,4569016720.0,4569480250.0,5076468900.0,5106245200.0,,,,,,,,,,,,,1.0746872492787813,1.061077222698768,1.0842691267933053,1.0810272526035711
carbon-monitor,CHN,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,,,,,4569016720.0,4569480250.0,5076468900.0,5106245200.0,,,,,,,,,,,,,1.0746872492787813,1.061077222698768,1.0842691267933053,1.0810272526035711
edgar,CHN,electricity-generation,ch4,tonnes,100-year,331577.46916000004,348508.14152,385775.57004,452206.78075999994,499935.9691200001,522913.5088800001,585086.4754,631712.87536,635694.84244,673386.02072,881918.73896,1001211.4951999999,1034136.7974000002,1107095.77188,1128365.58128,1082071.956,1124403.9951199999,1198958.77052,1269557.4301200002,1274163.1915600002,1295614.25252,1388099.77936,1398771.451,,,,,,,,,,,,,,,,
edgar,CHN,electricity-generation,co2,tonnes,100-year,1426850520.0,1506574586.0,1686007263.0,1996101084.0,2203919591.0,2373239085.0,2686187330.0,2930614442.0,2961790010.0,3143741597.0,3477506942.0,3954710856.0,4076159650.0,4347397647.0,4389763754.0,4266271551.0,4410465266.0,4705733761.0,5071184695.0,5238130847.0,5376577978.0,5822845160.0,5896781595.0,,,,,,,,,1.1109384934435105,1.182451288950421,1.1936349129809687,1.2144554679159305,1.2320708757057828,1.2484930706330546,1.2436855935600875,1.2483892482966064
edgar,CHN,electricity-generation,n2o,tonnes,100-year,5859690.96835,6259509.81905,8359803.37495,10142352.3723,11911821.497000001,13220228.646550002,15705143.581400001,17908817.96475,18810314.9643,19932446.43765,21659416.45765,24662915.46015,25413054.01825,26967792.257000003,27020646.083,26141149.27215,26842301.666,28711654.675499998,30640258.611,31552426.9565,32088529.3235,34719323.475,35159637.563999996,,,,,,,,,,,,,,,,
edgar,CHN,electricity-generation,co2e,tonnes,100-year,1433041788.43751,1513182603.96057,1694752841.94499,2006695643.15306,2216331348.4661202,2386982227.1554303,2702477560.0568,2949154972.84011,2981236019.8067403,3164347429.45837,3500048277.19661,3980374982.95535,4102606840.81565,4375472535.02888,4417912765.66428,4293494772.22815,4438431971.66112,4735644374.44602,5103094511.041121,5270957437.14806,5409962121.576019,5858952583.25436,5933340004.015,,,,,,,,,1.118027429067121,1.189949197937851,1.2012219024476785,1.2220972819893834,1.2397920813899284,1.25624518956339,1.2513976794713715,1.256128915098554
pik-tp,CHN,electricity-generation,ch4,tonnes,100-year,425551980.0,443341332.0,458245620.0,516125120.0,575711976.0,631216236.0,672318892.0,691807116.0,691767356.0,709842896.0,715720180.0,826160776.0,790200292.0,830926152.0,798584696.0,823650072.0,770711312.0,779617188.0,776499332.0,0.0,898800000.0,870800000.0,,,,,,,,,,,,,,,,,
pik-tp,CHN,electricity-generation,co2,tonnes,100-year,3168268200.0,3209927400.0,3541287700.0,4192540700.0,4832839500.0,5451749100.0,6022814700.0,6463746700.0,6969132600.0,7315368900.0,3864736500.0,8827661000.0,4545482100.0,9221148000.0,4377638600.0,9198425900.0,9049314100.0,9251710800.0,9434040700.0,9325668000.0,9850000000.0,10400000000.0,,,,,,,,,,2.395273083121606,2.4261324999316343,2.346746666206705,2.259279241782069,2.1935083858933995,2.2872646497559246,2.2213075940739784,
pik-tp,CHN,electricity-generation,n2o,tonnes,100-year,24293267.62,24740482.945,27402664.2,30600951.849999998,34622970.8,37991232.099999994,41060562.8,42631286.7,43173935.150000006,44706083.0,26092721.5,50910236.5,30500440.0,53474032.0,28182617.5,52495360.5,52096933.0,53253605.0,54335759.0,0.0,70225000.0,74730000.0,,,,,,,,,,,,,,,,,
pik-tp,CHN,electricity-generation,co2e,tonnes,100-year,3618113447.62,3678009214.945,4026935984.2,4739266771.85,5443174446.8,6120956568.1,6736194154.8,7198185102.7,7704073891.15,8069917879.0,4606549401.5,9704732012.5,5366182832.0,10105548184.0,5204405913.5,10074571332.5,9872122345.0,10084581593.0,10264875791.0,9325668000.0,10819025000.0,11345530000.0,,,,,,,,,,2.6234216374701482,2.646728426025769,2.558008863988945,2.4582489657986737,2.1935083858933995,2.512281566225948,2.4232607642109754,
climate-trace,USA,electricity-generation,ch4,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,USA,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,1804240000.0,1717004000.0,1661837000.0,1670236000.0,1557162000.0,1409204000.0,1479857000.0,1457698000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,USA,electricity-generation,n2o,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,USA,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,1804240000.0,1717004000.0,1661837000.0,1670236000.0,1557162000.0,1409204000.0,1479857000.0,1457698000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unfccc_annex_1,USA,electricity-generation,ch4,tonnes,100-year,661022.92732,705240.1846,799978.98792,831611.92744,898777.9749200002,975057.4237600002,1000413.9322800002,1078468.2843199999,1057144.1574400002,1050864.8962,1119827.9344000001,1114432.7446,1249793.8776399998,1174795.84712,1188989.31228,1297969.73376,1305489.8850000002,1234406.5636,1360242.5782400002,1402477.1194000002,1398663.0716434186,1391067.5679438072,,,,,,,,,,,,,,,,,
unfccc_annex_1,USA,electricity-generation,co2,tonnes,100-year,2296171671.0,2257203683.0,2272227098.0,2303678379.0,2335082662.0,2400057486.0,2344395535.0,2411137319.0,2359332092.0,2145345901.0,2258638992.0,2158067141.0,2023255817.0,2038270128.0,2037165849.0,1900637366.0,1808870663.0,1732031429.0,1752935973.0,1606023695.0,1438990159.0626152,1540897114.807113,,,,,,,,,,1.0534282390369352,1.0535040471658772,1.0422390577415235,1.0495139447359534,1.0313786844271822,1.0211368680919264,1.0412473061972292,
unfccc_annex_1,USA,electricity-generation,n2o,tonnes,100-year,22531184.27055,22377074.01345,23494324.006599996,24548007.50635,25569423.8164,26729327.2105,26519318.579499997,26908457.140499998,26685613.737999998,24791421.827999998,26771839.0935,25674891.48175,23571250.2577,25439107.8139,25681660.421800002,23590122.41555,23302395.32125,22011048.763049997,21696541.1901,18755017.6422,17536537.11920943,19006450.332486115,,,,,,,,,,,,,,,,,
unfccc_annex_1,USA,electricity-generation,co2e,tonnes,100-year,2319363878.19787,2280285997.19805,2296521400.9945197,2329057998.43379,2361550863.79132,2427761870.6342597,2371915267.5117803,2439124244.42482,2387074849.89544,2171188187.7242,2286530659.0279,2184856465.22635,2048076861.13534,2064884031.66102,2064036498.7340798,1925525458.14931,1833478548.20625,1755276884.3266501,1775992756.7683399,1626181189.7616,1457925359.253468,1561294632.707543,,,,,,,,,,1.0672224638348058,1.0678359212944466,1.0562268648048214,1.0633184512657732,1.0443237054086858,1.034573673686328,1.0550307446648852,
carbon-monitor,USA,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,,,,,1605907480.0,1436348250.0,1535525320.0,1630178840.0,,,,,,,,,,,,,1.031304051858445,1.0192621153502261,1.0376173643804774,1.1183241247501197
carbon-monitor,USA,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,,,,,1605907480.0,1436348250.0,1535525320.0,1630178840.0,,,,,,,,,,,,,1.031304051858445,1.0192621153502261,1.0376173643804774,1.1183241247501197
pik-tp,USA,electricity-generation,ch4,tonnes,100-year,-1215791.1147480456,9781145.416112008,13401085.273071973,12378783.20139995,9846278.585024018,5331591.416927962,1312845.8998479974,6769129.975048005,-1845497.5205239737,-13870062.052755956,-16370126.369099973,8282389.448844045,12631242.599836001,7846061.147763995,15334487.779296001,8448960.124528,-1118738.3184040007,7092891.2446279805,10252911.983495997,10113499.41951999,-42446898.343237445,-89275680.49441317,,,,,,,,,,,,,,,,,
pik-tp,USA,electricity-generation,co2,tonnes,100-year,2182562834.17,2128145095.3400002,2146913389.15,2141700945.3799999,2154650920.19,2224462956.92,2164017733.2599998,2246395504.06,2226995282.42,2062250672.7399998,2143912833.3000002,2058488215.2800002,1936327570.63,1900775161.44,1910686586.2800002,1826331432.4299998,1710072698.1399999,1636043185.7,1648817862.9,1461638529.48,1284526566.8376956,1355857525.1611645,,,,,,,,,,1.0122441761794438,0.9959631416933216,0.9844787338950812,0.987176580375468,0.9386554061041819,0.9115263417061658,0.9162084749818155,
pik-tp,USA,electricity-generation,n2o,tonnes,100-year,20343823.434009995,20355522.036559995,19474773.713390004,19325404.71438999,21185324.150009997,23467448.796545003,23956380.363509998,26612788.346265,26764171.556735,24085582.97116,27201584.219299998,25899595.164375003,25727367.60855,28604203.646005,30733138.367719997,31589294.26344501,31934428.742875,31574433.337455004,33356671.33478,33746115.738639995,14412802.742696034,16114464.786522856,,,,,,,,,,,,,,,,,
pik-tp,USA,electricity-generation,co2e,tonnes,100-year,2201690866.489262,2158281762.792672,2179789248.136462,2173405133.2957897,2185682522.925034,2253261997.133473,2189286959.523358,2279777422.381313,2251913956.456211,2072466193.6584036,2154744291.1502004,2092670199.8932192,1974686180.8383863,1937225426.233769,1956754212.427016,1866369686.8179727,1740888388.564471,1674710510.282083,1692427446.218276,1505498144.63816,1256492471.2371542,1282696309.4532743,,,,,,,,,,1.0344353782301539,1.0139105025756905,1.0077465541338189,1.0132864135477118,0.9668217851695328,0.8916327737056907,0.8667704443424428,
climate-trace,RUS,electricity-generation,ch4,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,RUS,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,572597000.0,575110000.0,566456000.0,573672000.0,577626000.0,530002000.0,572691000.0,591967000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,RUS,electricity-generation,n2o,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,RUS,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,572597000.0,575110000.0,566456000.0,573672000.0,577626000.0,530002000.0,572691000.0,591967000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
carbon-monitor,RUS,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,,,,,840398820.0,787057420.0,824016040.0,832970330.0,,,,,,,,,,,,,1.4549186151592899,1.4850083961947314,1.4388492922012044,1.4071229139462167
carbon-monitor,RUS,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,,,,,840398820.0,787057420.0,824016040.0,832970330.0,,,,,,,,,,,,,1.4549186151592899,1.4850083961947314,1.4388492922012044,1.4071229139462167
pik-tp,RUS,electricity-generation,ch4,tonnes,100-year,-6082086.400544004,-1477504.2313080058,1143509.5149240233,1942992.0931120026,4055741.699352008,9586646.68374001,11526037.492088024,17052180.97839204,24971468.471068066,33290756.585071992,37103684.991044,39837574.67891598,49998682.036603995,59176725.964159995,65801778.63100798,74153220.31768,80405835.84297599,101674826.395324,98575192.31624398,99228596.91984402,139682975.45290908,143105132.75064668,,,,,,,,,,,,,,,,,
pik-tp,RUS,electricity-generation,co2,tonnes,100-year,1078110293.66,1060249999.81,1062988502.4399999,1128221469.77,1119852515.97,1139197753.05,1144293153.2,1119568202.73,1127840110.23,1047712359.91,1080723377.28,1138648287.53,1149512843.15,1065238399.05,1061515916.5600001,1028443287.85,1058105046.8,1008656980.23,1055501000.57,991145948.44,1085746644.1770897,1229185365.0091703,,,,,,,,,,1.796103171777009,1.8398307224704837,1.7806448872110103,1.839903290678297,1.715895663353104,2.048570843463024,2.14633260346185,
pik-tp,RUS,electricity-generation,n2o,tonnes,100-year,1259967.2724650002,1290966.0908100004,1013109.033075,1080845.9732499998,1053262.6349649995,960580.194595,1024888.89231,1177809.885855,1190772.8691250004,641160.6184799998,1097831.1485149998,1594367.8794599995,2071827.74721,2068489.21944,1684370.26618,1782406.282395,1858230.5532550002,1972149.4406650001,1832711.9380900003,1855312.444010001,3001530.314919722,3911133.6530224504,,,,,,,,,,,,,,,,,
pik-tp,RUS,electricity-generation,co2e,tonnes,100-year,1073288174.531921,1060063461.6695019,1065145120.987999,1131245307.836362,1124961520.304317,1149744979.928335,1156844079.584398,1137798193.594247,1154002351.570193,1081644277.113552,1118924893.419559,1180080230.088376,1201583352.933814,1126483614.2336,1129002065.4571881,1104378914.450075,1140369113.196231,1112303956.065989,1155908904.8243341,1092229857.803854,1228431149.9449184,1376201631.4128394,,,,,,,,,,1.9287193513938685,1.9828712997447981,1.9636193385999778,2.0149299683866984,1.8908945542684263,2.317785876175785,2.4030439301697415,
climate-trace,IND,electricity-generation,ch4,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,IND,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,999118000.0,1000767000.0,1031634000.0,1078075000.0,1065943000.0,1011575000.0,1132673000.0,1217971000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
