Data source,ID,Gas,2015,2016,2017,2018,2019,2020,2021,2022
carbon-monitor,CHN,co2,,,,,4569016720.0,4569480250.0,5076468900.0,5106245200.0
carbon-monitor,CHN,co2e,,,,,4569016720.0,4569480250.0,5076468900.0,5106245200.0
carbon-monitor,IND,co2,,,,,1197643100.0,1162965420.0,1275079010.0,1387013030.0
carbon-monitor,IND,co2e,,,,,1197643100.0,1162965420.0,1275079010.0,1387013030.0
carbon-monitor,RUS,co2,,,,,840398820.0,787057420.0,824016040.0,832970330.0
carbon-monitor,RUS,co2e,,,,,840398820.0,787057420.0,824016040.0,832970330.0
carbon-monitor,USA,co2,,,,,1605907480.0,1436348250.0,1535525320.0,1630178840.0
carbon-monitor,USA,co2e,,,,,1605907480.0,1436348250.0,1535525320.0,1630178840.0
climate-trace,CHN,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,CHN,co2,3840241000.0,3729934000.0,3942356000.0,4175686000.0,4251485000.0,4306454000.0,4681927000.0,4723512000.0
climate-trace,CHN,co2e,3840241000.0,3729934000.0,3942356000.0,4175686000.0,4251485000.0,4306454000.0,4681927000.0,4723512000.0
climate-trace,CHN,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,IND,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,IND,co2,999118000.0,1000767000.0,1031634000.0,1078075000.0,1065943000.0,1011575000.0,1132673000.0,1217971000.0
climate-trace,IND,co2e,999118000.0,1000767000.0,1031634000.0,1078075000.0,1065943000.0,1011575000.0,1132673000.0,1217971000.0
climate-trace,IND,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,RUS,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,RUS,co2,572597000.0,575110000.0,566456000.0,573672000.0,577626000.0,530002000.0,572691000.0,591967000.0
climate-trace,RUS,co2e,572597000.0,575110000.0,566456000.0,573672000.0,577626000.0,530002000.0,572691000.0,591967000.0
climate-trace,RUS,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,USA,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,USA,co2,1804240000.0,1717004000.0,1661837000.0,1670236000.0,1557162000.0,1409204000.0,1479857000.0,1457698000.0
