sector_id,original_inventory_sector,unfccc_annex_1_category_code,unfccc_annex_1_category_notes,unfccc_annex_1_category_is_subset,unfccc_annex_1_category_subset_fraction,unfccc_annex_1_category_subset_estimation_method,reporting_entity,climate_trace_sector
991,petrochemicals,2.B.8.b.,,False,,,,
26,Land-Use Change and Forestry,"4.A, 4.B.2.a, 4.C.2.a",,False,,,cait,
27,Waste,"4.A, 4.D, 4.E",,True,,,cait,
28,Bunker Fuels,"1.A.3.a.i, 1.A.3.d.i",,False,,,cait,
24,Fugitive Emissions,"1.B.1, 1.B.2, 1.B.4",,False,,,cait,
22,Industrial Processes,"2.B.2, 2.B.3, 2.A, 2.C",,False,,,cait,
23,Other Fuel Combustion,"1.A.4.c, 1.A.5",,False,,,cait,
25,Agriculture,"3.A, 3.B, 3.C,",,True,,,cait,
17,Energy,1,,False,,,cait,
18,Electricity/Heat,1.A.1.a,,False,,,cait,
19,Transportation,1.A.3,,False,,,cait,
20,Building,"1.A.4.a, 1.A.4.b",,False,,,cait,
21,Manufacturing/Construction,1.A.2,,False,,,cait,
4499,All Other Non-Metallic Mineral Product Manufacturing,1.A.2.f,,,,,canghgrp,other-manufacturing
4498,Glass Manufacturing,1.A.2.f,,,,,canghgrp,other-manufacturing
4497,Lime Manufacturing,1.A.2.f,,,,,canghgrp,other-manufacturing
4485,Glass Product Manufacturing from Purchased Glass,1.A.2.f,,,,,can-ghgrp,other-manufacturing
4484,Non-Ferrous Die-Casting Foundries,1.A.2.b,,,,,can-ghgrp,other-manufacturing
4483,Clay Building Material and Refractory Manufacturing,1.A.2.f,,,,,can-ghgrp,other-manufacturing
4481,Gypsum Product Manufacturing,1.A.2.f,,,,,can-ghgrp,other-manufacturing
4480,All Other Non-Metallic Mineral Product Manufacturing,1.A.2.f,,,,,can-ghgrp,other-manufacturing
4479,Glass Manufacturing,1.A.2.f,,,,,can-ghgrp,other-manufacturing
4478,Lime Manufacturing,1.A.2.f,,,,,can-ghgrp,other-manufacturing
4482,Non-Ferrous Foundries (except Die-Casting),1.A.2.b,,,,,can-ghgrp,other-manufacturing
223,International Aviation,7.A,,False,,,carbon-monitor,
221,Residential,1.A.4.b.i,,False,,,carbon-monitor,
218,Power,1.A.1.a,,False,,,carbon-monitor,
219,Industry,"1.A.2, 2, 7.B",The international shipping emissions are included in the ROW in the industry sector. Industries included different for China,False,,,carbon-monitor,
220,Ground Transport,1.A.3.b,,False,,,carbon-monitor,
222,Domestic Aviation,1.A.3.a,,False,,,carbon-monitor,
70,other-onsite-fuel-usage,1.A.5,,False,,,climate-trace,
69,residential-and-commercial-onsite-fuel-usage,"1.A.4.a, 1.A.4.b",,False,,,climate-trace,
68,other-transport,1.A.3.e,,False,,,climate-trace,
67,shipping,"1.A.3.d, 7.B",,False,,,climate-trace,
66,railways,1.A.3.c,,False,,,climate-trace,
65,road-transportation,1.A.3.b,,False,,,climate-trace,
64,international-aviation,7.A,,False,,,climate-trace,
63,domestic-aviation,1.A.3.a,,False,,,climate-trace,
62,other-energy-use,"1.A.1.a.iii, 1.A.1.a.iv",,False,,,climate-trace,
61,electricity-generation,"1.A.1.a.i, 1.A.1.a.ii",,False,,,climate-trace,
1837,road-transportation-urban-area,1.A.3.b,,False,,,climate-trace,
1840,domestic-shipping-ship,1.A.3.d,,False,,,climate-trace,
1841,international-shipping-ship,7.B,,False,,,climate-trace,
1842,domestic-shipping-port,1.A.3.d,,False,,,climate-trace,
