code,description,internal_code
1.,Energy,False
1.A.1,Energy Industries,False
1.A.1.a,Public Electricity and Heat Production,False
1.A.1.a.i,Electricity Generation,False
1.A.1.a.ii,Combined Heat and Power Generation,False
1.A.1.a.iii,Heat Plants,False
1.A.1.a.iv,Other,False
1.A.1.b,Petroleum Refining,False
1.A.1.c,Manufacture of Solid Fuels and Other Energy Industries,False
1.A.1.c.i,Manufacture of Solid Fuels,False
1.A.1.c.ii,Oil and Gas Extraction,False
1.A.1.c.iii,Other Energy Industries,False
1.A.1.c.iv,Other,False
1.A.2,Manufacturing Industries and Construction,False
1.A.2.a,Iron and Steel,False
1.A.2.b,Non-Ferrous Metals,False
1.A.2.c,Chemicals,False
1.A.2.d,"Pulp, Paper and Print",False
1.A.2.e,"Food Processing, Beverages and Tobacco",False
1.A.2.f,Non-metallic Minerals,False
1.A.2.g,Other,False
1.A.2.g.i,Manufacturing of Machinery,False
1.A.2.g.ii,Manufacturing of Transport Equipment,False
1.A.2.g.iii,Mining (Excluding Fuels) and Quarrying,False
1.A.2.g.iv,Wood and Wood Products,False
1.A.2.g.v,Construction,False
1.A.2.g.vi,Textile and Leather,False
1.A.2.g.vii,Off-road Vehicles and Other Machinery,False
1.A.2.g.viii,Other,False
1.A.3,Transport,False
1.A.3.a,Domestic Aviation,False
1.A.3.b,Road Transportation,False
1.A.3.b.i,Cars,False
1.A.3.b.ii,Light Duty Trucks,False
1.A.3.b.iii,Heavy Duty Trucks and Buses,False
1.A.3.b.iv,Motorcycles,False
1.A.3.b.v,Other,False
1.A.3.c,Railways,False
1.A.3.d,Domestic Navigation,False
1.A.3.e,Other Transportation,False
1.A.3.e.i,Pipeline Transport,False
1.A.3.e.ii,Other,False
1.A.4,Other Sectors,False
1.A.4.a,Commercial/Institutional,False
1.A.4.a.i,Stationary Combustion,False
1.A.4.a.ii,Off-road Vehicles and Other Machinery,False
1.A.4.a.iii,Other,False
1.A.4.b,Residential,False
1.A.4.b.i,Stationary Combustion,False
1.A.4.b.ii,Off-road Vehicles and Other Machinery,False
1.A.4.b.iii,Other,False
1.A.4.c,Agriculture/Forestry/Fishing,False
1.A.4.c.i,Stationary,False
1.A.4.c.ii,Off-road Vehicles and Other Machinery,False
1.A.4.c.iii,Fishing,False
1.A.5,Other (Not specified elsewhere),False
1.A.5.a,Stationary,False
1.A.5.b,Mobile,False
1.AA,Fuel Combustion - Sectoral approach,False
1.AB,Fuel Combustion - Reference Approach,False
1.AD,"Feedstocks, Reductants and Other Non-energy Use of Fuels",False
1.B,Fugitive Emissions from Fuels,False
1.B.1,Solid Fuels,False
1.B.1.a,Coal Mining and Handling,False
1.B.1.a.i,Underground Mines,False
1.B.1.a.i.1,Mining Activities,False
1.B.1.a.i.2,Post-Mining Activities,False
1.B.1.a.i.3,Abandoned Underground Mines,False
1.B.1.a.ii,Surface Mines,False
1.B.1.a.ii.1,Mining Activities,False
1.B.1.a.ii.2,Post-Mining Activities,False
1.B.1.b,Solid Fuel Transformation,False
1.B.1.c,Other,False
1.B.2,Oil and Natural Gas and Other Emissions from Energy Production,False
