iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,130223.13034359163,127048.49363878104,119227.5875436044,119227.58754360439
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588734,Russian Federation_West Siberia (Central)_Conventional onshore,79097.17798369582,79957.88688871745,79366.05028862786,79366.05028862786
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588450,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,86506.18050522853,71928.28536573154,58687.48664359209,58687.48664359208
RUS,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588445,Russian Federation_OtherBasins_OtherResources,16566.34290765992,17978.196642348932,17636.62464668733,17636.62464668733
SYR,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588747,Syria_OtherBasins_OtherResources,17517.469879744105,17649.23839063359,16869.279570036215,16869.27957003621
PAK,buildings,residential-onsite-fuel-usage,,1338031,Lahore,15553.843213869653,15449.901487600062,15759.055066604116,15759.055066604116
RUS,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588731,Russian Federation_OtherBasins_OtherResources,13562.881376361744,14771.811106438749,15511.520068517235,15511.520068517235
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588738,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,14319.893165515994,13479.402212695608,13479.433614285532,13479.433614285534
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588733,Russian Federation_Volga - Urals_Conventional onshore,14276.77467778357,13255.510554366589,12555.955878161383,12555.955878161381
PAK,buildings,residential-onsite-fuel-usage,,1338030,Gujranwala,12212.182525505788,12141.08125040304,12278.353571860378,12278.353571860376
PAK,buildings,residential-onsite-fuel-usage,,1338032,Multan,11934.56548585609,11792.55641399247,12193.359770965575,12193.359770965575
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588736,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,14893.901243647693,12989.348439714933,11656.260883104274,11656.260883104278
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588729,Russian Federation_Nepa - Botuoba_Conventional onshore,9307.235669165786,10496.662273431884,11084.028297668865,11084.028297668863
PAK,buildings,residential-onsite-fuel-usage,,1338029,Faisalabad,10485.833473105766,10385.900611656481,10748.070628044268,10748.070628044268
PAK,buildings,residential-onsite-fuel-usage,,1338036,Karachi,10251.15929276236,10151.212914206568,10184.45497055191,10184.45497055191
CHN,buildings,residential-onsite-fuel-usage,,1281165,Chongqing,9609.568366907235,9285.223898781633,9536.876977888793,9536.876977888793
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588658,Iran_Rub al Khali_Conventional shelf,9527.617605113184,9083.278420926703,9255.17942592159,9255.179425921588
SYR,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588461,Syria_OtherBasins_OtherResources,9377.502003137595,9448.040678298945,9030.510648952228,9030.510648952228
DZA,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588549,Algeria_Oued Mya_Conventional onshore,8347.130146756857,8198.82542145259,8709.188559833641,8709.188559833641
ESH,buildings,residential-onsite-fuel-usage,,1244091,Laayoune,8018.936605327786,7937.516869181046,7960.950042833252,7960.950042833253
PAK,buildings,residential-onsite-fuel-usage,,1338027,Bahawalpur,7737.208311121448,7648.771595455393,7832.299515061072,7832.299515061071
IND,buildings,residential-onsite-fuel-usage,,1305929,West,7339.883377482556,7493.952535331702,7520.2149831848155,7520.214983184816
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588447,Russian Federation_Volga - Urals_Conventional onshore,8526.828054063255,7774.059184110794,7366.814237577286,7366.814237577286
NPL,buildings,residential-onsite-fuel-usage,,1335876,Bagmati,6998.823134266077,7075.757774442651,7221.800925475914,7221.800925475914
CHN,buildings,residential-onsite-fuel-usage,,1281164,Beijing,7156.58139416843,7102.893507897153,7174.618896493246,7174.618896493246
CHN,buildings,residential-onsite-fuel-usage,,1281407,Shanghai,7230.911521957018,7075.565906192302,7119.818458391342,7119.818458391342
DZA,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588547,Algeria_Illizi - Ghadames_Conventional onshore,5216.235875250979,6400.338693468104,7076.1066797264775,7076.1066797264775
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588443,Russian Federation_Nepa - Botuoba_Conventional onshore,4786.260572633802,6190.266496996638,7010.609746963817,7010.609746963817
PAK,buildings,residential-onsite-fuel-usage,,1338035,Hyderabad,6868.74145503925,6789.084490370803,6918.597680123284,6918.597680123283
PAK,buildings,residential-onsite-fuel-usage,,1338028,Dera Ghazi Khan,6725.4732034266735,6635.11088632172,6873.63248809206,6873.63248809206
KWT,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588678,Kuwait_Widyan - North Arabian Gulf_Conventional onshore,7003.906010962226,6985.473246403508,6862.848742307857,6862.848742307857
COD,buildings,residential-onsite-fuel-usage,,1281667,Kinshasa,6595.630739560254,6596.42541925535,6647.406221359963,6647.406221359963
LBY,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588681,Libya_Sirte_Conventional onshore,6321.541146399437,5852.9635995717035,6585.349967931554,6585.349967931553
PAK,buildings,residential-onsite-fuel-usage,,1338033,Rawalpindi,6301.022083397636,6255.301945517314,6361.979122039751,6361.979122039752
MTQ,manufacturing,food-beverage-tobacco,Animal and vegetable products from the food and beverage sector,31733913,SAEM LE GALION,6499.403523313837,6167.936126114142,6167.936126114141,6167.936126114142
LBY,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588680,Libya_OtherBasins_OtherResources,7361.446695802121,5489.547552480911,6063.355440572607,6063.355440572608
PAK,buildings,residential-onsite-fuel-usage,,1338034,Sargodha,5763.389317745931,5714.752798080584,5906.392565480645,5906.392565480645
PAK,buildings,residential-onsite-fuel-usage,,1338024,Malakand,5536.489764351788,5410.505352731164,5633.9251591594275,5633.9251591594275
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588660,Iran_Zagros Foldbelt_Conventional onshore,4781.855007968972,4868.562577892202,5543.165487246096,5543.165487246096
DZA,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588263,Algeria_Oued Mya_Conventional onshore,5239.118224687769,5138.277174082897,5514.7602792943635,5514.760279294363
PAK,buildings,residential-onsite-fuel-usage,,1338040,Sukkur,5413.103553647165,5332.423320179801,5435.785661827749,5435.785661827749
NPL,buildings,residential-onsite-fuel-usage,,1335878,Narayani,5227.463948036792,5288.726528455148,5387.6994948223955,5387.699494822396
