iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
KOR,transportation,international-aviation,international,3167058,Incheon International Airport,,,,,,,,,49.74906997234234
QAT,transportation,international-aviation,international,3166395,Hamad International Airport,,,,,,,,,47.11903574036581
SGP,transportation,international-aviation,international,3169099,Singapore Changi Airport,,,,,,,,,46.970450670341705
DEU,transportation,international-aviation,international,3166651,Frankfurt Airport,,,,,,,,,46.06229297607015
USA,transportation,international-aviation,international,3167631,Los Angeles / Tom Bradley International Airport,,,,,,,,,42.08219455369333
HKG,transportation,international-aviation,international,3166941,Hong Kong International Airport,,,,,,,,,39.44567556699261
TUR,transportation,international-aviation,international,3167153,İstanbul Airport,,,,,,,,,37.49910081698812
NLD,transportation,international-aviation,international,3165570,Amsterdam Airport Schiphol,,,,,,,,,36.85620482840208
TWN,transportation,international-aviation,international,3169506,Taiwan Taoyuan International Airport,,,,,,,,,26.57343117155789
USA,transportation,domestic-aviation,domestic,3170548,Hartsfield Jackson Atlanta International Airport,,,,,,,,,22.71030948971655
USA,transportation,domestic-aviation,domestic,3173366,Chicago O'Hare International Airport,,,,,,,,,21.743771627973977
CAN,transportation,international-aviation,international,3170244,Toronto Lester B. Pearson International Airport,,,,,,,,,21.14418818528179
USA,transportation,domestic-aviation,domestic,3171233,Denver International Airport,,,,,,,,,20.67327171477179
USA,transportation,domestic-aviation,domestic,3171235,Dallas Fort Worth International Airport,,,,,,,,,20.01135307982644
CHN,transportation,domestic-aviation,domestic,3173466,Beijing Capital International Airport,,,,,,,,,17.91864672883759
MYS,transportation,international-aviation,international,3167564,Kuala Lumpur International Airport,,,,,,,,,17.53379718737713
IND,transportation,international-aviation,international,3166325,Indira Gandhi International Airport,,,,,,,,,16.94882198039369
BRA,transportation,international-aviation,international,3166820,Guarulhos - Governador André Franco Montoro International Airport,,,,,,,,,16.68219870343421
SAU,transportation,international-aviation,international,3167221,King Abdulaziz International Airport,,,,,,,,,16.660874311488232
CHN,transportation,domestic-aviation,domestic,3174221,Shenzhen Bao'an International Airport,,,,,,,,,16.524468825813855
USA,transportation,domestic-aviation,domestic,3173969,San Francisco International Airport,,,,,,,,,15.109710706028764
USA,transportation,domestic-aviation,domestic,3172534,Harry Reid International Airport,,,,,,,,,14.985544070198111
GBR,transportation,international-aviation,international,3167698,London Gatwick Airport,,,,,,,,,14.212825412209837
ARE,transportation,international-aviation,international,3165652,Abu Dhabi International Airport,,,,,,,,,13.918738847794824
USA,transportation,domestic-aviation,domestic,3172133,John F Kennedy International Airport,,,,,,,,,13.79893803360257
CHN,transportation,domestic-aviation,domestic,3173981,Shanghai Hongqiao International Airport,,,,,,,,,12.737115260401728
CHN,transportation,domestic-aviation,domestic,3171824,Hangzhou Xiaoshan International Airport,,,,,,,,,11.221732428561364
CAN,transportation,international-aviation,international,3170205,Vancouver International Airport,,,,,,,,,11.138654586897154
USA,transportation,international-aviation,international,3167043,George Bush Intercontinental Houston Airport,,,,,,,,,11.095248280513474
USA,transportation,domestic-aviation,domestic,3170784,Logan International Airport,,,,,,,,,11.002913579467604
USA,transportation,domestic-aviation,domestic,3170479,Ted Stevens Anchorage International Airport,,,,,,,,,10.929449649216336
USA,transportation,domestic-aviation,domestic,3171060,Charlotte Douglas International Airport,,,,,,,,,10.747009114572508
USA,transportation,domestic-aviation,domestic,3171949,George Bush Intercontinental Houston Airport,,,,,,,,,10.55753502968884
FRA,transportation,international-aviation,international,3168471,Paris-Orly Airport,,,,,,,,,10.529137712474052
IND,transportation,international-aviation,international,3165875,Chhatrapati Shivaji International Airport,,,,,,,,,10.5071001657356
BEL,transportation,international-aviation,international,3165917,Brussels Airport,,,,,,,,,10.417425596374702
