iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588734,Russian Federation_West Siberia (Central)_Conventional onshore,4894659.51779371,4922342.505683255,4892494.28978668,4892494.289786681
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588658,Iran_Rub al Khali_Conventional shelf,4623338.573733757,4527204.022280196,4612957.529908879,4612957.529908879
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,4918343.530707548,4706589.035682953,4481338.961059032,4481338.961059032
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588660,Iran_Zagros Foldbelt_Conventional onshore,2122527.7244119304,2192618.522072076,2467233.2935112556,2467233.2935112556
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588450,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,3752421.0311376886,3087298.734661263,2457807.1972140768,2457807.1972140768
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588738,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,1705437.968687275,1801327.5781325025,1794245.7825958156,1794245.7825958151
IRQ,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588663,Iraq_Widyan - North Arabian Gulf_Conventional onshore,1367378.0231045617,1525130.8625998453,1579575.3579163724,1579575.3579163717
USA,fossil-fuel-operations,oil-and-gas-production,Shale gas,3588784,United States_Appalachian_Shale gas,1453582.8165401604,1531851.7474915315,1513708.1220106103,1513708.1220106103
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588795,United States_Delaware_Tight oil,999194.9130954903,1286691.3509517985,1351383.2916671184,1351383.2916671187
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588803,United States_Midland_Tight oil,743661.0663730939,887473.7183377948,1099795.355768775,1099795.3557687753
RUS,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588731,Russian Federation_OtherBasins_OtherResources,883182.5934300079,958911.7008720987,1005051.1754992538,1005051.1754992539
VEN,fossil-fuel-operations,oil-and-gas-production,Heavy oil,3588822,Venezuela_Maturin_Heavy oil,672204.077547837,790983.5391625409,946410.4708621926,946410.4708621925
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588736,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,1110338.6179118415,955516.4413068654,840154.2556476943,840154.2556476942
CHN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588604,China_OtherBasins_OtherResources,752896.4454968441,784878.2731367128,790998.7951129279,790998.7951129279
CAN,fossil-fuel-operations,oil-and-gas-production,Oil sands,3588592,Canada_West Canadian - Alberta_Oil sands,750873.376337649,760722.2080854416,777130.0753860365,777130.0753860367
DZA,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588549,Algeria_Oued Mya_Conventional onshore,773434.0144026405,716414.7660959099,763625.9775904608,763625.9775904608
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588801,United States_Gulf Coast_Tight oil,636261.4463015598,700109.886565728,757181.7918144199,757181.7918144198
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588733,Russian Federation_Volga - Urals_Conventional onshore,859588.3291579349,784699.6823702338,747402.2189571067,747402.2189571067
