iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
MYS,manufacturing,iron-and-steel,BF/BOF,1567195,Alliance Steel Kuantan plant,9530290.247817466,7733162.134679638,8690046.57175241,9639406.579538422
MYS,manufacturing,iron-and-steel,BF/BOF,1566989,Eastern Steel Kemaman plant,1752902.0018001576,1437668.3744372965,4142283.792426669,8159797.942585234
ISL,manufacturing,aluminum,Smelting,3673096,Fjardaal aluminium plant,4350788.308149414,3838851.7030970743,3575284.8165129977,3629316.0282627335
ISL,manufacturing,aluminum,Smelting,3673097,Grundartangi aluminium plant,4035513.793066122,3560674.0434523593,3316206.206620752,3366322.113171231
ISL,manufacturing,other-metals,Non-ferrous crude metal production,3673440,Norðurál Grundartangi ehf.,2617099.023306669,2638923.7912392933,2638923.791239293,2638923.791239293
MYS,manufacturing,aluminum,Smelting,3673107,Samalaju aluminium plant,2524618.1253177314,2508302.757226319,2553103.63417961,2612109.667240042
ISL,manufacturing,aluminum,Smelting,3673098,Straumsvik aluminium plant,2522196.120666327,2225421.2771577244,2072628.8791379698,2103951.3207320194
ISL,manufacturing,other-metals,Non-ferrous crude metal production,3673472,Rio Tinto á Íslandi hf.,1630915.5094541286,1644516.1994526982,1644516.1994526987,1644516.1994526982
CHN,manufacturing,iron-and-steel,BF/BOF,1566610,Angang Steel Co Ltd,1782716.452985173,1596877.2100692105,1616149.1979513352,1505648.7823718367
CHN,buildings,residential-onsite-fuel-usage,,1281165,Chongqing,1610192.3023306166,1544478.1785945822,1586337.4480633722,1586337.4480633724
CHN,manufacturing,iron-and-steel,"EAF,BF/BOF",32440567,Baoshan Iron and Steel Co Ltd Headquarters,1284288.923659983,1353870.8640159192,1411884.3434368514,1369409.8556228767
PRK,manufacturing,iron-and-steel,"EAF,BF/BOF",32440878,Kim Chaek Iron and Steel Complex steel plant,769595.3073574743,1207158.9051127117,1366757.8376060165,1366757.837863888
MOZ,manufacturing,aluminum,Smelting,3673105,Maputo aluminium plant,1423478.7408050697,1272300.4522728238,1334583.542620353,1324855.6788583528
CHN,manufacturing,iron-and-steel,BF/BOF,1566560,Wuhan Iron and Steel Co Ltd,1251933.0586886627,1408563.372932895,1300937.766421341,1430594.0112631293
CHN,buildings,residential-onsite-fuel-usage,,1281164,Beijing,1199166.4798989568,1181475.443932779,1193406.0445026178,1193406.0445026178
CHN,buildings,residential-onsite-fuel-usage,,1281407,Shanghai,1211621.3368734492,1176929.8470827125,1184290.69286991,1184290.69286991
CHN,manufacturing,iron-and-steel,BF/BOF,1566628,Rizhao Steel Holding Group Co Ltd,805822.7691138327,856540.9468236314,1156631.9327421607,1177090.747786449
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440512,Zhangjiagang Hongchang Steel Co Ltd,1217228.5863896636,1250002.2228395478,1132874.162310833,1156447.2624854404
CHN,manufacturing,iron-and-steel,BF/BOF,1566515,Shougang Jingtang United Iron & Steel Co Ltd,1052296.575847066,1167851.7598485688,1118141.4552395958,1105868.243462616
CHN,manufacturing,iron-and-steel,BF/BOF,1566499,Baosteel Zhanjiang Iron & Steel Co Ltd,968100.4945573356,999190.9384084382,1079260.0189215385,825870.7940470427
CHN,manufacturing,iron-and-steel,BF/BOF,1566507,Guangxi Shenglong Metallurgical Co Ltd,482373.6958210875,794204.262329898,1008136.760102226,867546.9139969298
CHN,manufacturing,iron-and-steel,BF/BOF,1566505,Liuzhou Iron & Steel Co Ltd(Liuzhou Base),771962.6651604602,816250.0356447339,1005926.6536591128,1062996.6177681403
PAK,buildings,residential-onsite-fuel-usage,,1338031,Lahore,954750.5913084911,947584.1406907,966545.3637598007,966545.3637598006
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440544,Bengang Steel Plates Co Ltd,900599.9397166846,855459.4305676132,923161.2810611475,845677.4971065507
CHN,manufacturing,iron-and-steel,"BOF,BF/BOF",1567260,Inner Mongolia BaoTou Steel Union Co Ltd,1023344.4966309544,1318165.003880968,888203.906338204,845379.6481226457
CHN,manufacturing,iron-and-steel,"BF/BOF,BOF,EAF",38089178,Ma'anshan Iron & Steel Co Ltd,1213398.7816287947,1167712.6269703023,822484.7365560844,948006.6359346227
CHN,buildings,residential-onsite-fuel-usage,,1281249,Harbin,835398.0944903343,809626.6260965762,816115.6066607609,816115.606660761
MYS,manufacturing,iron-and-steel,DRI-EAF,1566987,Lion Industries Megasteel plant,926643.462579233,815132.6968142424,804658.6492265285,2513958.743243037
CHN,manufacturing,iron-and-steel,BF/BOF,1566584,Nanjing Iron & Steel Co Ltd,795651.8049454981,750717.9422884391,790353.0934251454,838172.216717893
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440450,Hebei Yanshan Iron and Steel Group Co Ltd,740395.9026833622,767866.1554447337,784666.5479838161,710802.4300312625
CHN,buildings,residential-onsite-fuel-usage,,1281442,Tianjin,792334.0444257046,775182.54424778,784167.6107083032,784167.6107083033
