iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
KOR,transportation,international-aviation,international,3167058,Incheon International Airport,12582023.52086976,,13863810.94624324,14359190.11470874,14691704.323971285,7116311.427257869,,9450022.354672652,7097384.248875957
QAT,transportation,international-aviation,international,3166395,Hamad International Airport,7373087.198999983,,9591923.61171454,,11485211.044689206,7836187.540742427,,11306563.709746104,6722173.947609779
DEU,transportation,international-aviation,international,3166651,Frankfurt Airport,,,,13799486.406607175,13851746.69196214,,6965981.798053897,11063666.206026958,6571415.16046874
FRA,transportation,international-aviation,international,3166058,Charles de Gaulle International Airport,,,,,13391135.716110744,,,10573989.860641433,6415068.542531686
USA,transportation,international-aviation,international,3167631,Los Angeles / Tom Bradley International Airport,,11121493.73962818,12104859.544997588,12440902.490686268,,,,9822295.7247568,6003599.764770707
HKG,transportation,international-aviation,international,3166941,Hong Kong International Airport,16040984.722181393,16439108.714865051,,17679623.712211955,17273064.59221912,7584476.809027437,,6837260.065481704,5627464.324681587
NLD,transportation,international-aviation,international,3165570,Amsterdam Airport Schiphol,10445992.471536314,,10727042.878913136,,,,,9126307.426650736,5258040.9597179005
ESP,transportation,international-aviation,international,3167870,Adolfo Suárez Madrid–Barajas Airport,5719127.052664097,6026251.464612915,,,7202542.803759513,,,,3660835.322120725
USA,transportation,international-aviation,international,3169063,San Francisco International Airport,5527130.575996117,,,6542813.776028209,6962907.001728111,,,,3489666.406868244
USA,transportation,domestic-aviation,domestic,3170548,Hartsfield Jackson Atlanta International Airport,,,6347723.944562819,6424666.233843947,,,,,3239935.800790294
USA,transportation,domestic-aviation,domestic,3173366,Chicago O'Hare International Airport,,5527941.272037399,,6042949.288279932,,,,,3102045.974916419
USA,transportation,international-aviation,international,3168460,Chicago O'Hare International Airport,,5349670.825231713,5440245.86959832,5611894.372936124,,,,,3036457.787697764
CAN,transportation,international-aviation,international,3170244,Toronto Lester B. Pearson International Airport,,5374655.564519765,,6117609.452475716,,,,,3016507.208374309
