iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,284631889.6436235,278826308.8469257,259863201.70384678,259863201.70384675
CAN,forestry-and-land-use,forest-land-fires,,8182365,Nord-du-Québec,,,150138579.99999002,150138579.99999002
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588658,Iran_Rub al Khali_Conventional shelf,128354669.45154539,125706549.63506392,128083419.84796113,128083419.84796111
CAN,fossil-fuel-operations,oil-and-gas-production,Oil sands,3588592,Canada_West Canadian - Alberta_Oil sands,120612210.30029967,119515371.09843516,123637157.16382782,123637157.16382782
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588450,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,175541463.7834483,146064499.2563979,120883137.87578005,120883137.87578005
AUS,forestry-and-land-use,forest-land-fires,,8161376,Cook,22285386.99999999,77757989.99999999,119727135.00000001,119727135.00000001
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588734,Russian Federation_West Siberia (Central)_Conventional onshore,119671781.16019285,120788074.79158765,119710262.87398721,119710262.8739872
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588660,Iran_Zagros Foldbelt_Conventional onshore,69941820.71009773,73904201.57372002,84959305.9624912,84959305.96249118
AUS,forestry-and-land-use,removals,,8735098,Unincorporated South Australia,,18059702.93,83993913.11800002,83993913.11800002
AUS,forestry-and-land-use,net-shrubgrass,,4571361,Unincorporated South Australia,8504429.999999957,15147500.000000035,80574100.00000006,80574100.00000006
CAN,forestry-and-land-use,forest-land-fires,,8182196,Fort Smith,,11994074.999999998,76049575.99998,76049575.99998
CAN,fossil-fuel-operations,oil-and-gas-production,Tight gas,3588594,Canada_West Canadian - Alberta_Tight gas,60205746.00458756,68747297.70913051,73549340.76197681,73549340.7619768
CHN,fossil-fuel-operations,oil-and-gas-production,Tight gas,3588603,China_Ordos_Tight gas,66588060.29770933,68643678.16796249,70639080.16316982,70639080.1631698
AUS,forestry-and-land-use,shrubgrass-fires,,8155532,Barkly,,,67803280.00002,67803280.00002
USA,fossil-fuel-operations,oil-and-gas-production,Shale gas,3588784,United States_Appalachian_Shale gas,63680458.90993857,67109366.69878893,66314507.00192956,66314507.00192956
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588738,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,57421138.92863352,60616878.01351208,60814718.40065808,60814718.400658086
BWA,forestry-and-land-use,shrubgrass-fires,,8159554,Ghanzi,20288318.999999996,45300899.99999999,59498641.99998,59498641.999979995
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588795,United States_Delaware_Tight oil,43774038.797354646,56369059.10809214,59203168.335065305,59203168.335065305
CAN,forestry-and-land-use,forest-land-clearing,,5021601,Fort Smith,,,54890053.00001998,54890053.00002
CAN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588589,Canada_West Canadian - Alberta_Conventional onshore,54501521.97411169,56881298.84553449,54559021.82050647,54559021.820506476
AUS,forestry-and-land-use,shrubgrass-fires,,8155537,Central Desert,,,53478169.99998,53478169.99998
RUS,forestry-and-land-use,removals,,8692209,Ilimpiyskiy rayon,126032945.86999996,,53281801.26000002,53281801.26000002
AUS,forestry-and-land-use,shrubgrass-fires,,8156388,Derby-West Kimberley,12001997.999999998,16539019.999999993,52822487.000009984,52822487.00000999
CAN,forestry-and-land-use,forest-land-fires,,8182007,Division No. 17,,,50654770.00002,50654770.00001999
AUS,forestry-and-land-use,forest-land-fires,,8161311,Victoria-Daly,39860541.999999985,75539819.99999999,49248566.00004,49248566.00004001
COD,forestry-and-land-use,forest-land-fires,,8183605,Manono,53239943.99999999,56867909.99999999,49045239.99999,49045239.99999
AUS,forestry-and-land-use,forest-land-fires,,8161305,Roper Gulf,37600969.99999998,42531405.999999985,48954469.99998001,48954469.99998
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588803,United States_Midland_Tight oil,32579277.52118863,38879610.4433716,48181274.685864985,48181274.68586499
CAN,forestry-and-land-use,forest-land-clearing,,5021787,Division No. 18,14949162.499999994,,47533150.000020005,47533150.000020005
MMR,forestry-and-land-use,forest-land-fires,,8214936,Mindat,,11533993.999999994,47362594.99998,47362594.99998
BOL,forestry-and-land-use,forest-land-fires,,8164862,General José Ballivián,,,47056503.00000001,47056503.0
SGP,transportation,international-shipping,,2801126,Singapore,44064304.395417005,45751187.2350435,46709524.332086295,49799470.17354369
IRQ,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588663,Iraq_Widyan - North Arabian Gulf_Conventional onshore,40415108.52157769,44828188.52445076,46277320.88343293,46277320.88343293
USA,fossil-fuel-operations,oil-and-gas-transport,Shale gas,3588498,United States_Appalachian_Shale gas,44106196.66756749,46481118.015164524,45930584.32377915,45930584.32377915
RUS,forestry-and-land-use,net-forest-land,,8370488,Ilimpiyskiy rayon,115577900.00000024,,45224600.0,45224600.0
CAN,forestry-and-land-use,removals,,8550822,Kitikmeot,,,45195924.105,45195924.105
