iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
KOR,transportation,international-aviation,international,3167058,Incheon International Airport,12680959.11732024,,,14472100.016378224,14807228.867996752,7172268.763088255,,9524330.242953032,7153192.75557093
QAT,transportation,international-aviation,international,3166395,Hamad International Airport,7431063.62691752,8841619.234042218,9667347.305054355,10807690.622158756,,7897805.44242217,,11395470.046836764,6775032.081903322
SGP,transportation,international-aviation,international,3169099,Singapore Changi Airport,11976457.746967578,,12988592.101220194,13627317.58505141,,4658174.231019601,3997989.612524804,9130249.339024426,6753667.709723627
DEU,transportation,international-aviation,international,3166651,Frankfurt Airport,13383914.19861687,,,13907995.21809393,13960666.43913771,,7020757.054427444,11150662.5793215,6623087.840729296
FRA,transportation,international-aviation,international,3166058,Charles de Gaulle International Airport,12881149.452482194,12546131.535410272,12611324.62765585,13126306.878885709,13496433.564030452,5591167.148345423,,10657135.786413118,6465511.830248748
USA,transportation,international-aviation,international,3167631,Los Angeles / Tom Bradley International Airport,10462955.963694852,,12200043.08181479,12538728.417196156,,,6594926.248944105,9899530.891614491,6050807.570621041
HKG,transportation,international-aviation,international,3166941,Hong Kong International Airport,16167118.995298086,,,17818643.013367005,17408887.017373886,7644115.446296022,6537889.088402356,6891023.150691602,5671714.483532639
TUR,transportation,international-aviation,international,3167153,İstanbul Airport,6971986.6215477735,7405922.736562371,7269306.412413981,,8051156.014900976,,4919935.058109972,8849438.911856383,5391825.34374271
NLD,transportation,international-aviation,international,3165570,Amsterdam Airport Schiphol,,10412311.48481094,10811392.29883075,10865476.125057682,,5912728.369902744,6671080.629601029,9198069.86352335,5299386.250294402
THA,transportation,international-aviation,international,3165823,Suvarnabhumi Airport,9562169.323599312,9767623.412372692,,,,3482406.0404869136,2189696.5828087614,5151819.616198525,4107073.789903824
TWN,transportation,international-aviation,international,3169506,Taiwan Taoyuan International Airport,6710950.812057922,7382311.691867623,7775633.524018824,7876667.071271584,7805746.079074423,,,4191546.5013122526,3820872.94200127
USA,transportation,international-aviation,international,3169063,San Francisco International Airport,5570591.785497818,6155577.391377873,,6594261.556452563,7017658.08020945,2566327.7115267683,2495866.818815327,5131758.558624897,3517106.526242051
USA,transportation,domestic-aviation,domestic,3170548,Hartsfield Jackson Atlanta International Airport,,,6397637.684869903,6475184.990607221,,,5077673.074195888,5759124.596975962,3265412.2259758585
USA,transportation,domestic-aviation,domestic,3173366,Chicago O'Hare International Airport,,5571408.856244747,,6090466.509271,,,4916007.264226823,5789108.515919521,3126438.1379286805
JPN,transportation,international-aviation,international,3166963,Tokyo Haneda International Airport,,,4562327.750214082,4726565.679602154,4978132.961397607,,1578329.6615631124,2665382.525189984,3122737.0857246304
USA,transportation,international-aviation,international,3168460,Chicago O'Hare International Airport,,5391736.624348217,,5656022.101364113,5569391.216200659,,,5598694.861851821,3060334.2143968786
CAN,transportation,international-aviation,international,3170244,Toronto Lester B. Pearson International Airport,,5416917.824887475,,6165713.745002896,,2159276.3733681506,2141655.4717271286,4813074.018113163,3040226.758680558
USA,transportation,domestic-aviation,domestic,3171233,Denver International Airport,,,4322538.117791455,4486886.980575092,4881724.947684388,,4567084.044310205,5245125.651393983,2972515.818813685
USA,transportation,international-aviation,international,3167972,Miami International Airport,5602684.805328874,5361630.048799535,,5057742.060470396,5051923.536890758,2348774.61159268,,4931418.57648708,2653780.8789066174
CHN,transportation,domestic-aviation,domestic,3173466,Beijing Capital International Airport,,5613150.509596992,5696407.309464154,5842700.753813127,5890396.118577987,3608115.662371656,,2997482.317481169,2576440.806664625
MYS,transportation,international-aviation,international,3167564,Kuala Lumpur International Airport,,5748410.510663634,,,,2089619.2888206043,1153519.4357517394,2805968.382874852,2521105.0395137863
CHN,transportation,domestic-aviation,domestic,3170926,Guangzhou Baiyun International Airport,3087248.310087685,3243588.4973882507,3438098.516226994,3620363.671114047,3774017.725121444,3586686.1820772225,3869421.045258992,3510180.779760882,2483679.5659639137
IND,transportation,international-aviation,international,3166325,Indira Gandhi International Airport,3126660.665300632,,,,3937258.5118763647,1871926.8661735072,2012561.806758302,3995497.24234205,2436994.1121113426
SAU,transportation,international-aviation,international,3167221,King Abdulaziz International Airport,3725087.4555699024,3988039.116160501,4028666.74973314,4018415.3637155495,4026634.354270372,,1194182.34442569,3495637.183030088,2395591.4249788458
CHN,transportation,domestic-aviation,domestic,3174221,Shenzhen Bao'an International Airport,2724756.3063392206,2779250.5723556327,,3257055.4323932505,3446361.481291563,3282044.714549092,3578783.6852572607,3280244.9412758425,2375978.299899561
USA,transportation,domestic-aviation,domestic,3173953,Seattle–Tacoma International Airport,3370675.3433376006,,3803289.075203621,,4252923.743770067,2785589.694599219,3710690.342051147,4230578.727517161,2359570.4984239643
USA,transportation,international-aviation,international,3166571,Newark Liberty International Airport,3711145.1774290153,3848124.645260643,3979811.6707086056,,4215872.383901016,1752585.3870769518,2337529.162892852,3646473.7293919954,2214434.4974891897
DEU,transportation,international-aviation,international,3168126,Munich Airport,4541827.816809076,,4881912.662436104,5028754.936024268,5209848.161535816,1536575.1383035218,1386179.3195080229,3716404.772418777,2185601.3134406167
USA,transportation,domestic-aviation,domestic,3173969,San Francisco International Airport,4232119.620874111,4501576.029615101,4649268.575144388,,4589015.360036735,2171687.187785901,2560628.0334024685,3775395.647969295,2172556.6572646634
USA,transportation,domestic-aviation,domestic,3172534,Harry Reid International Airport,,3389878.4788052733,3397497.5150798126,,3460362.1756812218,2317611.315773719,3009245.0088530355,3805731.8176144734,2154703.3008019063
PHL,transportation,international-aviation,international,3168042,Ninoy Aquino International Airport,,3624319.286480768,3871447.224268974,,4250974.673204632,1718282.7621291906,,2989046.399381344,2104807.2939979928
ITA,transportation,international-aviation,international,3166597,Rome–Fiumicino Leonardo da Vinci International Airport,3817543.4568878384,4028032.6958198817,4133938.855644009,4558332.988864313,4761126.600355128,1078091.3816941208,969535.3512054743,2749427.2585270386,2063346.743989407
GBR,transportation,international-aviation,international,3167698,London Gatwick Airport,3814037.669618366,,,4843304.219643332,4822573.439143242,1349534.4300540988,757914.7091074517,3083081.417634016,2043597.5955195893
ARE,transportation,international-aviation,international,3165652,Abu Dhabi International Airport,6116419.223652868,,,5379025.151176639,4880287.285849965,1934898.8609737689,2101595.8756991774,3269166.3353496594,2001312.2244914635
USA,transportation,domestic-aviation,domestic,3172133,John F Kennedy International Airport,,3380857.0916039445,3383402.5682906467,,,1757513.8033606934,2458999.8669501515,3715594.151785512,1984086.6096876469
USA,transportation,domestic-aviation,domestic,3173501,Phoenix Sky Harbor International Airport,3352484.212614542,3347739.807919035,,3349663.829152342,3398899.986703788,2281146.607000722,,3415742.865437103,1966133.717689962
ISR,transportation,international-aviation,international,3169462,Ben Gurion International Airport,2553847.7464800016,2713479.56715771,3007929.8255229387,,3469158.4110885174,,1604340.246121291,2927369.648022165,1951023.9770675665
USA,transportation,international-aviation,international,3165573,Ted Stevens Anchorage International Airport,,2149927.258584594,,2808890.367123048,,2804528.409296378,2942318.9066875125,3360194.455084096,1933411.551089033
JPN,transportation,domestic-aviation,domestic,3171869,Tokyo Haneda International Airport,,3417832.9822801147,,3433160.7597777434,3447976.6974096857,2695955.080665976,2224473.4609054774,3341727.513307319,1906374.4737621287
CHN,transportation,domestic-aviation,domestic,3173532,Beijing Daxing International Airport,,,,,183307.32117867004,,,2304933.6153705786,1888281.900090165
USA,transportation,international-aviation,international,3165642,Hartsfield Jackson Atlanta International Airport,3132423.327147703,3109773.123499574,3218702.955493186,3372927.781845748,3475707.766572774,1438729.2013937528,,2867446.0731505626,1881104.5437460328
USA,transportation,domestic-aviation,domestic,3171477,Newark Liberty International Airport,2542287.6483436152,2855726.762624971,,,3180351.623862504,1610566.6642029728,2171901.5060947887,3298338.0153148174,1863648.5840089184
MEX,transportation,international-aviation,international,3167939,Aeropuerto Internacional Lic. Benito Juárez,,3089889.6453089453,,,3750037.869405099,1764611.058687802,2294830.80904064,3282991.7662214027,1850268.455579194
USA,transportation,international-aviation,international,3167041,Washington Dulles International Airport,,3009791.458141176,3031940.581475599,,,,,2784121.746965425,1809873.219750531
CHN,transportation,domestic-aviation,domestic,3172373,Kunming Changshui International Airport,2275701.0796798314,2511776.221609735,2669718.6744310325,2709882.861351973,2735558.1633696067,,2726739.692449981,2615192.1923527424,1778335.0525292554
CHN,transportation,domestic-aviation,domestic,3174289,Chengdu Tianfu International Airport,,,,,,,460699.2160840571,1927487.9674376163,1689562.1704247647
USA,transportation,international-aviation,international,3166329,Dallas Fort Worth International Airport,2837333.5678474098,2865453.666008337,,,,1375793.5585175874,1981048.200317104,2875431.2711522444,1661201.9027400897
ESP,transportation,international-aviation,international,3165718,Josep Tarradellas Barcelona-El Prat Airport,2347686.3261884293,2617654.9462210177,,,3441885.655861003,1006537.4405789066,,2638497.782423289,1625388.2745256023
CHN,transportation,domestic-aviation,domestic,3171824,Hangzhou Xiaoshan International Airport,1688691.3511148924,,2111446.271975803,,2259547.6888651266,2194856.0275484133,2444390.5190700404,2379587.713463922,1613521.9242805487
CAN,transportation,international-aviation,international,3170205,Vancouver International Airport,2849293.4687918182,3217276.873097057,3507702.010960552,,,1281152.503403529,,2322995.075613783,1601576.5388598323
ETH,transportation,international-aviation,international,3165469,Addis Ababa Bole International Airport,1715254.3036738406,,2104428.002327122,2375209.930038428,2603912.07346041,1637828.6262939116,,2460163.3773037866,1595594.032078049
USA,transportation,international-aviation,international,3167043,George Bush Intercontinental Houston Airport,,,2987300.8365526283,3076543.203523436,,1211549.1195489774,1518980.9500430955,2425464.134925569,1595335.34326477
USA,transportation,domestic-aviation,domestic,3170784,Logan International Airport,,,2698205.06856953,,,1508854.7706423562,1897052.6891722984,2821632.863704381,1582058.9560885688
USA,transportation,domestic-aviation,domestic,3170479,Ted Stevens Anchorage International Airport,2214465.121096219,2008103.7568219828,2277088.4503358146,2372519.008521102,2254922.185030116,2161166.2953837165,2477417.1052497816,2811742.078897126,1571495.9113128253
USA,transportation,domestic-aviation,domestic,3171060,Charlotte Douglas International Airport,2553946.7630123817,2612275.461186086,,2705037.774573987,,2035971.5149975857,2582881.008625659,2751648.2568144244,1545263.6156847528
USA,transportation,domestic-aviation,domestic,3171949,George Bush Intercontinental Houston Airport,2835614.2697853576,2661612.3238928528,,2728558.9338093977,2834692.074192949,,2364788.65193724,2721919.623445437,1518019.9978219138
FRA,transportation,international-aviation,international,3168471,Paris-Orly Airport,2122581.0476028016,2254597.686772535,,2609842.213175035,2581476.002371004,1256489.3697401225,,2698780.1226903107,1513936.8765918724
IND,transportation,international-aviation,international,3165875,Chhatrapati Shivaji International Airport,2624857.3005731674,,,3119171.210308547,2695408.35163146,1255025.829825067,1025742.3217218836,2099829.317582614,1510768.1978654566
CHN,transportation,domestic-aviation,domestic,3171044,Chongqing Jiangbei International Airport,1765725.8993553836,,2115657.001589807,2296615.1489398205,2456811.72041049,2403076.8483478776,2789987.009722945,2217653.41353662,1506113.458668923
BEL,transportation,international-aviation,international,3165917,Brussels Airport,2831137.8304065657,2739785.646361658,2918673.851643931,,,1380372.6094961376,,2657779.9093118226,1497874.2989389568
GBR,transportation,international-aviation,international,3167877,Manchester Airport,2458247.793195083,2748384.4243137813,,,,1069294.7195657312,,2567537.461690457,1488818.9263126946
IND,transportation,domestic-aviation,domestic,3171231,Indira Gandhi International Airport,1905754.062394114,2300499.1704848483,2565985.568987857,2756863.6316232057,2711422.85304507,1764840.934263002,2139050.4601884536,2766501.1996155283,1448874.0304927449
ZAF,transportation,international-aviation,international,3167267,OR Tambo International Airport,3772978.062846805,3704368.2053699824,3688180.3487992063,,3666440.557343391,1370806.1665912382,,2315678.4166700128,1447504.3864923206
CHN,transportation,domestic-aviation,domestic,3171140,Chengdu Shuangliu International Airport,2623151.212394622,,3071018.910986336,,3388061.124650682,3391374.688832091,3517213.3640215257,2313396.230044252,1445020.4405009723
NZL,transportation,international-aviation,international,3165542,Auckland International Airport,,2885070.8047218784,,,,1233975.3625535464,779124.3046625537,1487116.9706024083,1440869.1643257656
