iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,421853674.15036404,410140142.94248,384892558.7173937,384892558.7173938
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588658,Iran_Rub al Khali_Conventional shelf,257345817.32403478,252015543.521999,256784936.59773648,256784936.59773642
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588734,Russian Federation_West Siberia (Central)_Conventional onshore,256232783.37195492,258121432.36546808,256210855.22435322,256210855.22435322
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588450,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,280234010.5521898,232200133.95344713,189455958.67805275,189455958.67805278
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588660,Iran_Zagros Foldbelt_Conventional onshore,129160345.88650823,135078260.00484857,153795116.51677287,153795116.51677284
CAN,forestry-and-land-use,forest-land-fires,,8182365,Nord-du-Québec,1525646.3999999992,457834.9299999999,150138579.99999,150138579.99999002
CAN,fossil-fuel-operations,oil-and-gas-production,Oil sands,3588592,Canada_West Canadian - Alberta_Oil sands,141561579.16543773,140739522.36933663,145319087.93241587,145319087.9324159
AUS,forestry-and-land-use,forest-land-fires,,8161376,Cook,22285386.99999999,77757989.99999999,119727135.00000001,119727135.0
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588738,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,105002859.92032613,110873919.1087265,110874177.40039894,110874177.40039895
USA,fossil-fuel-operations,oil-and-gas-production,Shale gas,3588784,United States_Appalachian_Shale gas,104235421.15672664,109848032.11912028,108546965.27134322,108546965.27134322
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588795,United States_Delaware_Tight oil,71651578.53803645,92267749.46496494,96906763.83789551,96906763.83789551
IRQ,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588663,Iraq_Widyan - North Arabian Gulf_Conventional onshore,78564957.03151259,87379341.25630404,90347475.03461735,90347475.03461733
CAN,fossil-fuel-operations,oil-and-gas-production,Tight gas,3588594,Canada_West Canadian - Alberta_Tight gas,72328544.38213398,82589989.98041384,88358953.89374727,88358953.89374727
AUS,forestry-and-land-use,removals,,8735098,Unincorporated South Australia,6933328.91,18059702.93,83993913.11800002,83993913.11800002
CHN,fossil-fuel-operations,oil-and-gas-production,Tight gas,3588603,China_Ordos_Tight gas,78337925.14626846,80845142.38570654,83230614.9889251,83230614.98892508
AUS,forestry-and-land-use,net-shrubgrass,,4571361,Unincorporated South Australia,8504429.999999957,15147500.000000035,80574100.00000006,80574100.00000006
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588803,United States_Midland_Tight oil,53327422.93831558,63640128.850313686,78865566.77713145,78865566.77713144
CAN,forestry-and-land-use,forest-land-fires,,8182196,Fort Smith,3515586.9999999977,11994074.999999998,76049575.99998,76049575.99998
AUS,forestry-and-land-use,shrubgrass-fires,,8155532,Barkly,1955092.6999999993,4114160.9999999995,67803280.00002,67803280.00002
CAN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588589,Canada_West Canadian - Alberta_Conventional onshore,65475739.81057155,68334699.37047935,65544817.60417382,65544817.60417382
VEN,fossil-fuel-operations,oil-and-gas-production,Heavy oil,3588822,Venezuela_Maturin_Heavy oil,42454459.76297545,49956225.7361593,59772539.530567646,59772539.53056765
BWA,forestry-and-land-use,shrubgrass-fires,,8159554,Ghanzi,20288318.999999996,45300899.99999999,59498641.99998,59498641.999979995
RUS,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588445,Russian Federation_OtherBasins_OtherResources,53666139.06755219,58037525.117812574,56934856.49803263,56934856.49803263
QAT,fossil-fuel-operations,oil-and-gas-production,LNG,3588726,Qatar_Rub al Khali_LNG,56871052.43659764,56668501.742200896,56317017.08561406,56317017.08561407
CAN,forestry-and-land-use,forest-land-clearing,,5021601,Fort Smith,3903411.399999999,94297.22000000002,54890053.00002,54890053.00002
BRA,fossil-fuel-operations,oil-and-gas-production,Deepwater,3588581,Brazil_Santos_Deepwater,48661673.352266476,50964624.04577529,54402763.4229126,54402763.42291259
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588801,United States_Gulf Coast_Tight oil,45625870.38555463,50204397.92390894,54296984.818222284,54296984.818222284
QAT,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588725,Qatar_Rub al Khali_Conventional shelf,43594912.34353952,52751731.07350543,54123576.70529952,54123576.70529952
AUS,forestry-and-land-use,shrubgrass-fires,,8155537,Central Desert,2570468.6999999993,5108710.3,53478169.99998,53478169.99998001
RUS,forestry-and-land-use,removals,,8692209,Ilimpiyskiy rayon,126032945.86999996,-164588127.27199998,53281801.26000002,53281801.26000002
AUS,forestry-and-land-use,shrubgrass-fires,,8156388,Derby-West Kimberley,12001997.999999998,16539019.999999993,52822487.00001,52822487.00001
CAN,forestry-and-land-use,forest-land-fires,,8182007,Division No. 17,282732.0699999999,928823.4999999994,50654770.00001999,50654770.00001999
RUS,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588731,Russian Federation_OtherBasins_OtherResources,43936521.30452959,47686615.914860144,50074557.170624055,50074557.17062405
IDN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588655,Indonesia_OtherBasins_OtherResources,51641080.29999364,48079594.246603906,49854395.505616024,49854395.50561603
USA,fossil-fuel-operations,oil-and-gas-transport,Shale gas,3588498,United States_Appalachian_Shale gas,47817528.0747105,50392288.01309022,49795429.47091511,49795429.4709151
