iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
KOR,transportation,international-aviation,international,3167058,Incheon International Airport,352.7744569459052,,388.7131803282123,402.6026089124032,,199.5269596376731,,264.95948753923943,198.99627988937
SGP,transportation,international-aviation,international,3169099,Singapore Changi Airport,333.17577469762386,347.16262944652976,361.3325681920591,379.1014162430166,388.2266310757869,129.5867977732753,,253.996462141083,187.88180268136728
DEU,transportation,international-aviation,international,3166651,Frankfurt Airport,,371.104762795443,,,,,195.31202129986548,310.2027929917684,184.24917190428147
FRA,transportation,international-aviation,international,3166058,Charles de Gaulle International Airport,358.3435969548907,349.02365808679895,350.8372793989397,,375.4603241922189,155.54193781425556,,296.4732600167185,179.8655293887046
USA,transportation,international-aviation,international,3167631,Los Angeles / Tom Bradley International Airport,291.0713278067388,311.82415991489137,339.39574547050194,348.8177090743048,,,183.46573824150903,275.3972788650165,168.32877821477354
HKG,transportation,international-aviation,international,3166941,Hong Kong International Airport,449.75672353964273,460.9193139674187,,495.70084205758826,484.3017477438652,212.6533687594401,181.8790086298372,191.7029246207844,157.7827022679709
TUR,transportation,international-aviation,international,3167153,İstanbul Airport,,,202.2264718533882,,,90.43648945729454,136.868781160509,246.18453364005583,149.99640326795353
NLD,transportation,international-aviation,international,3165570,Amsterdam Airport Schiphol,292.8844724614295,289.6624376454908,300.76455666826064,302.269126807652,,164.48752183989964,185.5842941040229,255.8831765826756,147.4248193136092
THA,transportation,international-aviation,international,3165823,Suvarnabhumi Airport,266.0121414436348,271.72771499953,,,280.7564479747038,96.87783774335834,60.915662272074606,143.3196298934018,114.25561051538654
USA,transportation,international-aviation,international,3169063,San Francisco International Airport,154.96954716242274,171.24339344851643,,183.44724701142383,,71.39324844463344,69.43308100522802,142.76154681578743,97.8431783697868
USA,transportation,domestic-aviation,domestic,3173366,Chicago O'Hare International Airport,,154.9922774375042,,169.43205915873472,,,136.75951297808652,161.04851328753395,86.97508651189675
JPN,transportation,international-aviation,international,3166963,Tokyo Haneda International Airport,,,126.92042294282888,131.48939488050044,138.48780173598306,48.95754332177954,43.90790823377436,74.14887660924052,86.87212610729885
USA,transportation,international-aviation,international,3168460,Chicago O'Hare International Airport,,149.9939351631423,152.5334759640541,157.34615235510776,154.93614825482334,,,155.75135297123978,85.1361265791208
CAN,transportation,international-aviation,international,3170244,Toronto Lester B. Pearson International Airport,,150.69445665077563,,171.52537895232544,,60.0693956161925,59.5791957858959,133.89598982786768,84.57675274112762
USA,transportation,domestic-aviation,domestic,3171233,Denver International Airport,108.30237508396324,,,,135.80580549514175,,,145.91533149541192,82.69308685908803
