iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
PAK,agriculture,synthetic-fertilizer-application,,10627066,Multan,69076.23610029054,85945.83053351055,86235.18334165134,86235.18334165134
PAK,agriculture,synthetic-fertilizer-application,,25317585,Faisalabad,59326.02066293513,73595.52151148743,73851.58831037967,73851.58831037967
PAK,agriculture,synthetic-fertilizer-application,,10627063,Bahawalpur,56949.24443131564,70898.34474821282,71174.45515324728,71174.45515324728
PAK,agriculture,synthetic-fertilizer-application,,10627065,Lahore,53715.898502458665,67188.52604683263,67472.26614628868,67472.26614628868
PAK,agriculture,synthetic-fertilizer-application,,25317584,Dera Ghazi Khan,53504.08180475933,66683.45860884427,66930.19236456594,66930.19236456594
PAK,agriculture,synthetic-fertilizer-application,,25317591,Hyderabad,49348.74259263315,61619.404316219436,63393.9875417713,63393.9875417713
PAK,agriculture,synthetic-fertilizer-application,,25317590,Sargodha,50338.87252691967,62710.45589126797,62890.264487489825,62890.264487489825
PAK,agriculture,synthetic-fertilizer-application,,10627064,Gujranwala,45834.119229761,57643.017877342034,57817.29808855479,57817.29808855479
PAK,agriculture,synthetic-fertilizer-application,,25317596,Sukkur,38577.99569732142,47845.46133783548,49162.26905676545,49162.26905676545
CHN,agriculture,synthetic-fertilizer-application,,10624519,Chongqing,40252.30923504501,47729.995882518146,48004.146893099794,48004.146893099794
AUS,agriculture,manure-left-on-pasture-cattle,,20372782,Unincorporated South Australia,46706.42458347981,46459.04360530258,46853.57116457122,46853.57116457122
PAK,agriculture,synthetic-fertilizer-application,,10627067,Mirpur Khas,34256.366719024416,43786.022597796175,44902.89553218036,44902.89553218036
PAK,agriculture,synthetic-fertilizer-application,,25317593,Larkana,29497.687148609806,36696.14821365238,37696.67292143965,37696.67292143965
IND,agriculture,synthetic-fertilizer-application,,10626962,Pashchim Medinipur,30405.11298010875,36262.027171395115,37439.84930134596,37439.84930134596
CHN,agriculture,synthetic-fertilizer-application,,10624753,Harbin,30307.858825435735,34749.61462673963,35417.91473313684,35417.91473313684
CHN,agriculture,synthetic-fertilizer-application,,10624793,Nanyang,27846.030700375137,32832.90988435863,33112.89739693711,33112.89739693711
CHN,agriculture,synthetic-fertilizer-application,,10624734,Baoding,26789.25785343713,31110.964259831784,31635.392662656934,31635.392662656934
IND,agriculture,synthetic-fertilizer-application,,10626786,Ganganagar,25636.813909238776,29596.896065772056,30468.179667833912,30468.179667833912
IND,agriculture,synthetic-fertilizer-application,,10626949,Barddhaman,24712.733927898542,29495.021890086395,30448.950600051438,30448.950600051438
CHN,agriculture,synthetic-fertilizer-application,,10625341,Weifang,25609.60468067917,29732.721582643935,30231.90759838185,30231.90759838185
CHN,agriculture,synthetic-fertilizer-application,,10624767,Qiqihar,24795.262522528094,28777.9649777649,29274.29308359451,29274.29308359451
CHN,agriculture,synthetic-fertilizer-application,,10624804,Xinyang,24955.466547622087,29247.5333625419,29056.974050207773,29056.974050207773
CHN,agriculture,synthetic-fertilizer-application,,10625513,Kashgar,23368.652959001527,27389.343232012743,27782.14655684981,27782.14655684981
CHN,agriculture,synthetic-fertilizer-application,,10624967,Tongliao,23322.022983861487,27052.840952247567,27595.74267695344,27595.74267695344
IND,agriculture,synthetic-fertilizer-application,,10625737,West Godavari,22437.644300843403,26653.04660546006,27540.186279963524,27540.186279963524
THA,fossil-fuel-operations,coal-mining,Underground & Surface,16344,Mae Moh Coal Mine,30391.97088281813,29329.41023523541,27374.116219553038,27374.116219553038
CHN,agriculture,synthetic-fertilizer-application,,10624910,Changchun,23229.555910234034,26643.98282246692,27234.090775425448,27234.090775425448
CHN,agriculture,synthetic-fertilizer-application,,10624811,Zhumadian,22463.748475140663,26277.898096632514,26545.360354603534,26545.360354603534
IND,agriculture,synthetic-fertilizer-application,,10625715,Guntur,21666.45904882651,25681.801430154268,26522.678916076762,26522.678916076762
IND,agriculture,synthetic-fertilizer-application,,10626843,Karimnagar,21232.797254457153,25513.19570797915,26405.851489658486,26405.851489658486
IND,agriculture,synthetic-fertilizer-application,,10625723,Nellore,20288.81943885811,23989.53312167554,24749.29352746555,24749.29352746555
CHN,agriculture,synthetic-fertilizer-application,,10624772,Suihua,20991.462792493916,24222.34569723047,24686.18635494399,24686.18635494399
CHN,agriculture,synthetic-fertilizer-application,,10624746,Shijiazhuang,20781.550077917942,24197.21932725162,24587.565165812284,24587.565165812284
IND,agriculture,synthetic-fertilizer-application,,10626894,Hardoi,20449.427549146334,23657.111386555483,24356.041001941285,24356.041001941285
IND,agriculture,synthetic-fertilizer-application,,10626948,Bankura,19642.51249222393,23576.664662483385,24327.402525522397,24327.402525522397
IND,agriculture,synthetic-fertilizer-application,,10626773,Alwar,20014.50070601229,23490.671463541104,24126.991438415556,24126.991438415556
CHN,agriculture,synthetic-fertilizer-application,,10625017,Heze,19742.247823844024,23004.52620649849,23309.956082986435,23309.956082986435
IND,agriculture,synthetic-fertilizer-application,,10625718,Krishna,19001.064777481424,22533.467084176726,23266.15823084653,23266.15823084653
CHN,agriculture,synthetic-fertilizer-application,,10624809,Zhoukou,19527.140685895058,22911.840803507,23194.15894570334,23194.15894570334
CHN,agriculture,synthetic-fertilizer-application,,10625013,Dezhou,19271.54903196752,22391.71149799216,22768.492651129098,22768.492651129098
IND,agriculture,synthetic-fertilizer-application,,10626925,Shahjahanpur,18820.022988218057,21795.04852355739,22449.60037440895,22449.60037440895
CHN,agriculture,synthetic-fertilizer-application,,10625310,Linyi,18863.94866369166,22041.387937028503,22266.49956716242,22266.49956716242
CHN,agriculture,synthetic-fertilizer-application,,10624508,Lu'an,18818.536719927695,22173.79719865696,21968.362969345806,21968.362969345806
IND,agriculture,synthetic-fertilizer-application,,10626905,Lakhimpur Kheri,18105.01742720571,21354.847033471222,21948.032488182955,21948.032488182955
IND,agriculture,synthetic-fertilizer-application,,10626959,Murshidabad,17789.05438439478,21214.405660040004,21869.432028486972,21869.432028486972
CHN,agriculture,synthetic-fertilizer-application,,10624739,Handan,18410.487339128325,21554.195938204957,21868.32456311098,21868.32456311098
IND,agriculture,synthetic-fertilizer-application,,10626769,Sangrur,18173.79896773108,21035.455481633588,21705.29453239356,21705.29453239356
IND,agriculture,synthetic-fertilizer-application,,10626254,Sirsa,18167.465304358862,20862.67109294925,21495.712868064904,21495.712868064904
CHN,agriculture,synthetic-fertilizer-application,,10625490,Aksu,18014.661025744976,21124.93552952241,21396.736828105015,21396.736828105015
CHN,agriculture,synthetic-fertilizer-application,,10624736,Cangzhou,18041.121405365844,21028.39657794895,21361.282063792474,21361.282063792474
CHN,agriculture,synthetic-fertilizer-application,,10624961,Chifeng,17864.489388009595,20940.378177906452,21271.24537177105,21271.24537177105
IND,agriculture,synthetic-fertilizer-application,,10626788,Jaipur,17762.35275139329,20611.280993764005,21234.993570996507,21234.993570996507
CHN,agriculture,synthetic-fertilizer-application,,10624747,Tangshan,17927.83126439829,20732.2900119033,21032.013682740842,21032.013682740842
CHN,agriculture,synthetic-fertilizer-application,,10625306,Liaocheng,17666.725571861127,20524.532781332902,20843.523328061172,20843.523328061172
IND,agriculture,synthetic-fertilizer-application,,10626761,Ludhiana,17399.765962566707,20144.882432127397,20783.38318490229,20783.38318490229
IND,agriculture,synthetic-fertilizer-application,,10626219,Hisar,17508.1272513326,20140.214052329535,20749.716190522122,20749.716190522122
IND,agriculture,synthetic-fertilizer-application,,10626847,Nalgonda,17023.20484210402,20075.473778194093,20728.31934702491,20728.31934702491
CHN,agriculture,synthetic-fertilizer-application,,10624915,Siping,17671.050090446468,20233.64493771348,20715.178001929035,20715.178001929035
IND,agriculture,synthetic-fertilizer-application,,10626766,Patiala,17314.046292292656,20062.69639312089,20699.043409009813,20699.043409009813
CHN,agriculture,synthetic-fertilizer-application,,10624878,Yancheng,17486.35864856106,20579.47360525977,20580.570671745987,20580.570671745987
IND,agriculture,synthetic-fertilizer-application,,10626850,Warangal,16512.582618223012,19673.579110701437,20310.74880763276,20310.74880763276
BRA,agriculture,manure-left-on-pasture-cattle,,20388468,Corumbá,20376.136500964727,19843.847332380596,20177.71547693456,20177.71547693456
CHN,agriculture,synthetic-fertilizer-application,,10624498,Chuzhou,17048.57271407454,20172.419961264706,20071.399023941558,20071.399023941558
