iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
KEN,manufacturing,chemicals,soda_ash,32267419,Kenya,inf,inf,inf,inf
ETH,manufacturing,chemicals,soda_ash,32267404,Ethiopia,inf,inf,inf,inf
CAN,fossil-fuel-operations,oil-and-gas-production,Oil sands,3588592,Canada_West Canadian - Alberta_Oil sands,1542810.545122537,1578338.4765161905,1629696.5059613106,1629696.5059613108
BRA,fossil-fuel-operations,oil-and-gas-production,Deepwater,3588581,Brazil_Santos_Deepwater,1194484.2790113008,1245042.6307995366,1329034.8150903843,1329034.815090384
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,1376962.8008190242,1381373.618546464,1296338.4241605895,1296338.4241605897
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588738,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,1199399.8676581203,1271087.7177676463,1271090.6788911917,1271090.678891192
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588658,Iran_Rub al Khali_Conventional shelf,1221564.5819818173,1196424.553112169,1219066.8826268855,1219066.8826268855
CAN,fossil-fuel-operations,oil-and-gas-production,Tight gas,3588594,Canada_West Canadian - Alberta_Tight gas,788273.4965516991,926214.3054535096,990910.9703331357,990910.9703331356
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588734,Russian Federation_West Siberia (Central)_Conventional onshore,836363.489696056,869366.58892492,862931.6644135094,862931.6644135092
USA,fossil-fuel-operations,oil-and-gas-production,Shale gas,3588784,United States_Appalachian_Shale gas,756632.677762155,790834.0969618611,781467.2652963379,781467.265296338
CAN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588589,Canada_West Canadian - Alberta_Conventional onshore,713588.1248639852,766346.8191582626,735059.3907049005,735059.3907049005
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588660,Iran_Zagros Foldbelt_Conventional onshore,613096.0494019411,641273.7270205835,730130.5743998756,730130.5743998755
KWT,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588678,Kuwait_Widyan - North Arabian Gulf_Conventional onshore,651978.1737956525,732779.7639279348,719916.3898953662,719916.3898953662
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588795,United States_Delaware_Tight oil,520110.39177943853,664267.5423415968,697665.4164012002,697665.4164012002
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588450,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,914705.3390772471,782062.2896482268,638097.6544180765,638097.6544180765
CHN,fossil-fuel-operations,oil-and-gas-production,Tight gas,3588603,China_Ordos_Tight gas,573912.6874258717,594762.0337791023,612311.4930928808,612311.4930928808
ARE,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588771,United Arab Emirates_OtherBasins_OtherResources,519006.5236396443,587335.3956961917,601372.0583461944,601372.0583461944
ARE,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588773,United Arab Emirates_Rub al Khali_Conventional shelf,496770.15317299054,596114.0056444934,599837.1905060987,599837.1905060987
NOR,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588710,Norway_Northern North Sea_Conventional shelf,622983.5900147859,620526.044793999,594352.6070216832,594352.6070216834
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588803,United States_Midland_Tight oil,387097.49879845727,458167.368672543,567780.5790452752,567780.5790452752
TWN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588748,Taiwan_OtherBasins_OtherResources,677197.8866417902,575101.1106097767,499102.0748599641,499102.07485996414
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588739,Saudi Arabia_Widyan - North Arabian Gulf_Conventional shelf,402799.9869010139,539692.1973145932,463439.49179099215,463439.49179099203
SAU,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588452,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,419405.06173686165,445053.5811389612,445021.25988436013,445021.2598843602
BRA,fossil-fuel-operations,oil-and-gas-transport,Deepwater,3588295,Brazil_Santos_Deepwater,342242.28256590985,375638.5950992863,412746.6626594711,412746.6626594711
SSD,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588742,South Sudan_OtherBasins_OtherResources,385837.93987883814,429408.6596393071,409224.18126211915,409224.18126211915
USA,fossil-fuel-operations,oil-and-gas-production,Tight oil,3588801,United States_Gulf Coast_Tight oil,331192.83351044817,361438.8799665866,390902.83301485324,390902.83301485324
NOR,fossil-fuel-operations,oil-and-gas-transport,Conventional shelf,3588424,Norway_Northern North Sea_Conventional shelf,415745.5566246563,396546.38414891926,386769.5967228628,386769.59672286274
ARE,fossil-fuel-operations,oil-and-gas-production,Acid/sour gas,3588772,United Arab Emirates_Rub al Khali_Acid/sour gas,404999.14163810783,408251.2725912275,378477.10405859427,378477.1040585944
SAU,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588737,Saudi Arabia_OtherBasins_OtherResources,347447.40304520103,358863.854009502,371800.2425005799,371800.24250057986
IND,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588650,India_OtherBasins_OtherResources,330497.66130463034,334390.16147603904,371758.07846912026,371758.0784691203
USA,fossil-fuel-operations,oil-and-gas-transport,Shale gas,3588498,United States_Appalachian_Shale gas,347101.8192245334,362791.56591042434,358494.57417457626,358494.5741745762
VEN,fossil-fuel-operations,oil-and-gas-production,Heavy oil,3588822,Venezuela_Maturin_Heavy oil,254152.06678153097,294723.9772875088,352636.73993435106,352636.73993435106
