iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
SGP,transportation,international-shipping,,2801126,Singapore,959399.9038827594,996610.2204047618,1017213.0231290058,1084699.8120654367
EGY,transportation,international-shipping,,2790225,Adabiya,216158.22288812976,249062.70634054265,232122.9687309638,140077.4682724048
MTQ,manufacturing,food-beverage-tobacco,Animal and vegetable products from the food and beverage sector,31733913,SAEM LE GALION,225185.76717573247,225219.27650769672,225219.27650769672,225219.27650769672
EGY,transportation,international-shipping,,2790256,Port Said,197833.21361517868,182780.34087027822,182215.85871337517,130532.6252733423
KOR,transportation,international-shipping,,2796084,Busan South,171429.23698388267,184048.31190408874,167943.22894587848,163629.7373801827
NLD,transportation,international-shipping,,2796451,Rotterdam,149203.37092395473,150581.6436812965,141846.25560313798,153628.75188758448
KOR,manufacturing,iron-and-steel,BF/BOF,1566956,POSCO Gwangyang steel plant,123776.3506831054,117845.0221569648,125462.92770592606,112919.36238951345
SGP,transportation,domestic-shipping,,1933977,Singapore,133572.57254390133,128669.5886958608,124114.7730172448,119955.4037450347
HKG,transportation,international-shipping,,2791282,Hong Kong,118048.80748777949,121589.14018480982,114250.02447420741,113579.51541563711
OMN,transportation,international-shipping,,2800464,Port Fujairah,119007.12217637629,123628.59363973301,109499.557706888,117875.85824796991
MYS,transportation,international-shipping,,2796303,Port Klang,86403.42021057679,99883.4604163256,108777.1059863219,118226.830872537
ISL,manufacturing,aluminum,Smelting,3673096,Fjardaal aluminium plant,124502.8034483302,109851.538551196,102309.38005128555,103855.52254376719
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,105990.03631287081,103406.25609473538,97040.72907896404,97040.72907896402
USA,transportation,international-shipping,,2802540,"Port of Long Beach,CA",109150.1545816304,117689.365211281,96569.6399415013,96483.35164235829
ISL,manufacturing,aluminum,Smelting,3673097,Grundartangi aluminium plant,115480.86116946573,101891.28213444266,94895.6568591634,96329.76004059565
