iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
PAK,buildings,residential-onsite-fuel-usage,,1338031,Lahore,51489.89588782893,51093.73775170959,52116.12691731774,52116.12691731774
PAK,buildings,residential-onsite-fuel-usage,,1338030,Gujranwala,40427.5649532548,40151.27358113997,40605.24126492996,40605.24126492995
PAK,buildings,residential-onsite-fuel-usage,,1338032,Multan,39508.53341412345,38998.681339318144,40324.161739799936,40324.16173979994
PAK,buildings,residential-onsite-fuel-usage,,1338029,Faisalabad,34712.60873620455,34346.78742729813,35544.50508612602,35544.50508612602
TKM,buildings,residential-onsite-fuel-usage,,1371457,Boldumsaz,35330.28279112489,34583.79228596024,35144.07954353559,35144.07954353559
MTQ,manufacturing,food-beverage-tobacco,Animal and vegetable products from the food and beverage sector,31733913,SAEM LE GALION,37088.898826318924,35036.38461522667,35036.38461522667,35036.38461522667
PAK,buildings,residential-onsite-fuel-usage,,1338036,Karachi,33935.73649007899,33570.66133505849,33680.59478095131,33680.59478095131
ESH,buildings,residential-onsite-fuel-usage,,1244091,Laayoune,28584.350743307514,28216.468654431457,28299.769442414483,28299.769442414483
PAK,buildings,residential-onsite-fuel-usage,,1338027,Bahawalpur,25613.47989202038,25294.93992790691,25901.877609805742,25901.87760980575
NPL,buildings,residential-onsite-fuel-usage,,1335876,Bagmati,24247.43593965421,24489.281753106476,24994.738834563283,24994.738834563286
IND,buildings,residential-onsite-fuel-usage,,1305929,West,24027.23265801767,24444.615242406882,24530.281041605158,24530.281041605158
COD,buildings,residential-onsite-fuel-usage,,1281667,Kinshasa,24216.709929592034,24219.84732281587,24407.031618080407,24407.031618080407
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,26042.021906845006,25407.108401016605,23843.086638434525,23843.086638434528
PAK,buildings,residential-onsite-fuel-usage,,1338035,Hyderabad,22738.481900409715,22451.90383923205,22880.2116156869,22880.2116156869
PAK,buildings,residential-onsite-fuel-usage,,1338028,Dera Ghazi Khan,22264.202504756242,21942.704026386415,22731.509066907387,22731.50906690739
PAK,buildings,residential-onsite-fuel-usage,,1338033,Rawalpindi,20859.08714649681,20686.65340154652,21039.4411319864,21039.441131986398
BRA,manufacturing,pulp-and-paper,,31922355,BRA-Guaíba,18936.21948805671,20796.00118413545,20796.00118413545,20819.81874668633
CHN,buildings,residential-onsite-fuel-usage,,1281165,Chongqing,20539.338702237015,19633.219354969613,20165.32931347183,20165.329313471826
PAK,buildings,residential-onsite-fuel-usage,,1338034,Sargodha,19079.291969919057,18899.02540901796,19532.789451215634,19532.789451215638
NPL,buildings,residential-onsite-fuel-usage,,1335878,Narayani,18110.558700404385,18304.345371781572,18646.89198467763,18646.89198467763
PAK,buildings,residential-onsite-fuel-usage,,1338024,Malakand,18328.157075435785,17892.861117498862,18631.723627874435,18631.723627874435
PAK,buildings,residential-onsite-fuel-usage,,1338040,Sukkur,17919.695767460827,17634.639218964316,17976.464594472473,17976.464594472473
ESH,buildings,residential-onsite-fuel-usage,,1244092,Oued el Dahab,17159.32908640691,17097.55326552186,17178.854345422933,17178.854345422933
TKM,buildings,residential-onsite-fuel-usage,,1371443,Köpetdag,17190.497463385425,16994.833612631373,17132.054122610523,17132.054122610527
NPL,buildings,residential-onsite-fuel-usage,,1335889,Lumbini,16063.575385633978,16336.347750261446,16955.881994702573,16955.881994702573
NPL,buildings,residential-onsite-fuel-usage,,1335879,Koshi,16018.179996264478,16196.64818635059,16559.29896400684,16559.29896400684
NPL,buildings,residential-onsite-fuel-usage,,1335877,Janakpur,15990.225850725465,16180.671017516644,16505.68849560504,16505.688495605045
