iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
MYS,manufacturing,iron-and-steel,BF/BOF,1567195,Alliance Steel Kuantan plant,264236.5811687596,214409.41213956822,240939.96019548,267261.8861596829
MYS,manufacturing,iron-and-steel,BF/BOF,1566989,Eastern Steel Kemaman plant,48600.915610688964,39860.74850705548,114848.83122604497,226238.3032422786
SGP,transportation,international-shipping,,2801126,Singapore,70414.7584238858,73110.3972016034,74641.8198826798,79579.55333732719
MYS,manufacturing,aluminum,Smelting,3673107,Samalaju aluminium plant,69997.49691185036,69545.12400989933,70787.27172691343,72423.27115907834
CHN,manufacturing,iron-and-steel,BF/BOF,1566610,Angang Steel Co Ltd,52636.81788187388,47277.63234467198,47848.20467916137,44576.69576867064
CHN,manufacturing,iron-and-steel,"EAF,BF/BOF",32440567,Baoshan Iron and Steel Co Ltd Headquarters,37920.153858007056,40083.11255712257,41800.677272683366,40543.16466856128
CHN,manufacturing,iron-and-steel,BF/BOF,1566560,Wuhan Iron and Steel Co Ltd,36964.808565123254,41702.35560992588,38515.95917102558,42354.60138857915
IND,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3143912,RPL (Reliance Petroleum Limited) Jamnagar Refinery,35850.1114337354,36334.70683313388,37232.69912529739,37232.69912529739
CHN,manufacturing,iron-and-steel,BF/BOF,1566628,Rizhao Steel Holding Group Co Ltd,23792.873102105652,25359.01177419257,34243.59677092597,34849.30667133188
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440512,Zhangjiagang Hongchang Steel Co Ltd,35940.11785503861,37007.94597655354,33540.21699400951,34238.12936714114
CHN,manufacturing,iron-and-steel,BF/BOF,1566515,Shougang Jingtang United Iron & Steel Co Ltd,31070.304606114598,34575.7743845601,33104.03598775324,32740.671547192906
IND,manufacturing,iron-and-steel,"EAF,BF/BOF",32440777,JSW Steel Vijayanagar steel plant,30521.76335346907,23742.185328307874,32475.01184870802,32405.671871343122
CHN,manufacturing,iron-and-steel,BF/BOF,1566499,Baosteel Zhanjiang Iron & Steel Co Ltd,28584.315435041495,29582.350809649626,31952.9003589855,24450.981903277436
IND,manufacturing,iron-and-steel,BF/BOF,1566853,Tata Steel Jamshedpur steel plant,34605.4949739106,27242.427661811944,30696.724010212147,30367.785831082983
CHN,manufacturing,iron-and-steel,BF/BOF,1566507,Guangxi Shenglong Metallurgical Co Ltd,14242.655547058099,23513.452934416273,29847.203527437214,25684.857785605167
CHN,manufacturing,iron-and-steel,BF/BOF,1566505,Liuzhou Iron & Steel Co Ltd(Liuzhou Base),22793.113368991322,24166.146804026714,29781.770443915673,31471.40115819789
PRK,manufacturing,iron-and-steel,"EAF,BF/BOF",32440878,Kim Chaek Iron and Steel Complex steel plant,16240.701431119984,25556.794173799575,28935.6675357193,28935.6675411787
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440544,Bengang Steel Plates Co Ltd,26591.28148613547,25326.992074991907,27331.393651083374,25037.385177933043
CHN,manufacturing,iron-and-steel,"BOF,BF/BOF",1567260,Inner Mongolia BaoTou Steel Union Co Ltd,30215.46012512706,39025.99400263,26296.434983337946,25028.56697032979
CHN,manufacturing,iron-and-steel,"BF/BOF,BOF,EAF",38089178,Ma'anshan Iron & Steel Co Ltd,35827.03832666862,34571.65517425122,24350.733255387633,28066.972783764555
CHN,manufacturing,iron-and-steel,BF/BOF,1566584,Nanjing Iron & Steel Co Ltd,23492.56332052753,22225.983717635525,23399.43405655387,24815.18156414156
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440450,Hebei Yanshan Iron and Steel Group Co Ltd,21861.067263260335,22733.678931681585,23231.076462750658,21044.2329221174
CHN,manufacturing,iron-and-steel,BF/BOF,1566485,Chongqing Iron & Steel Co Ltd,20329.636566169793,22141.72584708694,22422.945120674452,22268.99342210484
MYS,manufacturing,iron-and-steel,DRI-EAF,1566987,Lion Industries Megasteel plant,25692.092700995334,22600.34372690971,22309.940610190806,69701.94170178189
CHN,manufacturing,iron-and-steel,BF/BOF,1566527,Hebei Donghai Special Steel Co Ltd,20696.70063443639,19533.251033968718,22235.141631825263,22079.924408247858
