iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
PRK,manufacturing,iron-and-steel,"EAF,BF/BOF",32440878,Kim Chaek Iron and Steel Complex steel plant,1667235.0168877752,2625343.5770980297,2972441.238026006,2972441.238586827
PER,manufacturing,iron-and-steel,"DRI-EAF,EAF",38088917,Aceros Arequipa Pisco steel plant,1761051.860161294,2073714.9220277676,2115202.8332772856,2115202.8332772856
CHL,manufacturing,iron-and-steel,BF/BOF,1566477,CAP Acero Huachipato steel plant,1303102.8330234597,1730639.141945271,1628890.1651060393,1650785.595489877
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588658,Iran_Rub al Khali_Conventional shelf,1358417.13251115,1341010.3479812143,1366388.9630411048,1366388.9630411048
IRN,manufacturing,iron-and-steel,DRI-EAF,1566876,Mobarakeh Steel Complex Isfahan,1169081.9941929856,1245368.2973608894,1149621.3058574921,1069216.2442871016
MEX,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588692,Mexico_Salinas - Sureste_Conventional onshore,712951.2947076957,916849.9105034675,1023938.2041201765,1023938.2041201764
IRN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440802,Esfahan Steel Isfahan plant,1333988.5787228271,1077291.865880319,1017723.4398759825,922647.1620630594
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588738,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,589734.4954233414,825013.251661596,825015.173610908,825015.1736109081
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588660,Iran_Zagros Foldbelt_Conventional onshore,681781.5362912149,718770.5247156182,818365.5652174716,818365.5652174714
MEX,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588690,Mexico_OtherBasins_OtherResources,773792.3767976712,723710.1800226085,724244.1661831951,724244.1661831953
MEX,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588693,Mexico_Salinas - Sureste_Conventional shelf,703375.2764894873,713686.6130178584,625495.0961137327,625495.0961137326
ISL,manufacturing,aluminum,Smelting,3673096,Fjardaal aluminium plant,595086.8897861565,525063.8945474274,489014.19358296273,496404.3822806781
IRN,manufacturing,iron-and-steel,BF/BOF,1566879,Zarand Iranian Steel Company Kerman plant,526526.3867715871,578178.865906553,457143.1730403135,437177.48103478376
ISL,manufacturing,aluminum,Smelting,3673097,Grundartangi aluminium plant,551964.6513958552,487015.7862468892,453578.38245376264,460433.0502313536
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588448,Russian Federation_West Siberia (Central)_Conventional onshore,482134.67254347797,482669.5627134347,452957.181111222,452957.18111122196
MOZ,manufacturing,aluminum,Smelting,3673105,Maputo aluminium plant,462522.54854098044,413394.2861995518,433631.2307282784,430470.46529040206
IRN,manufacturing,iron-and-steel,DRI-EAF,1566875,Khouzestan Steel plant,420869.51790947485,448332.5870499203,413863.67010869575,384917.8479433558
ISL,manufacturing,other-metals,Non-ferrous crude metal production,3673440,Norðurál Grundartangi ehf.,357958.42218404467,360942.20626550924,360942.20626550924,360942.20626550924
RUS,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588734,Russian Federation_West Siberia (Central)_Conventional onshore,292847.2991369697,303767.77555343707,301519.33084715647,301519.3308471564
SAU,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588739,Saudi Arabia_Widyan - North Arabian Gulf_Conventional shelf,198053.2543291127,350293.06662240607,300800.4221316659,300800.4221316659
SAU,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588452,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,206217.82537321825,288866.8476664578,288845.86920605466,288845.86920605466
ISL,manufacturing,aluminum,Smelting,3673098,Straumsvik aluminium plant,344977.9071224095,304384.86640430574,283486.4890336016,287770.6563945959
PER,manufacturing,iron-and-steel,EAF,32440928,Gerdau Siderperu Chimbote steel plant,232004.51522680945,273195.37606325204,278661.07696335786,278661.07696335786
ARE,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588771,United Arab Emirates_OtherBasins_OtherResources,207481.86909353643,247126.31580596953,253032.3598692507,253032.35986925074
ARE,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588773,United Arab Emirates_Rub al Khali_Conventional shelf,198592.4939197458,250819.98989801,252386.55129488016,252386.55129488016
SAU,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588737,Saudi Arabia_OtherBasins_OtherResources,170836.8697097585,232924.47166444288,241320.9747417645,241320.9747417645
MOZ,manufacturing,aluminum,Refinery,3673104,MOZ-Boane,238990.9687007819,221126.26742059682,228504.2181241002,239723.99646905952
ISL,manufacturing,other-metals,Non-ferrous crude metal production,3673472,Rio Tinto á Íslandi hf.,223071.3997753375,224930.82492203082,224930.82492203082,224930.8249220308
RUS,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588450,Russian Federation_West Siberia (Sth Kara/Yamal)_Conventional onshore,320278.19405685033,273262.5397583414,222959.4598386213,222959.4598386213
RUS,manufacturing,iron-and-steel,BF/BOF,1567021,NLMK Lipetsk steel plant,208691.2065723451,282823.7617544306,221668.89554856473,221016.33137146113
SGP,transportation,international-shipping,,2801126,Singapore,197258.45669454912,213826.20759792536,218301.2327871716,232744.8368016162
IRN,fossil-fuel-operations,oil-and-gas-production,OtherResources,3588657,Iran_OtherBasins_OtherResources,190454.33900911,193220.8201131509,200928.7801878949,200928.78018789488
RUS,manufacturing,iron-and-steel,"BF/BOF,EAF",32440950,Magnitogorsk Iron & Steel Works,200268.7433991494,206494.27582992963,199618.66746841272,231872.19781378916
RUS,manufacturing,iron-and-steel,"BF/BOF,EAF",32440961,Severstal Cherepovets steel plant,159964.4605544497,169476.06799909443,197183.7511379909,187273.52187151328
BHR,manufacturing,aluminum,Smelting,3672952,Askar aluminium plant,185880.64006907944,190335.1793578935,194816.23478235494,195693.64423609563
IRN,manufacturing,iron-and-steel,DRI-EAF,1567237,Mobarakeh Saba Steel Complex,187053.11907087764,199258.9275777421,183939.4089371986,171074.59908593615
CHN,manufacturing,iron-and-steel,BF/BOF,1566610,Angang Steel Co Ltd,195735.90502521582,175911.13653321582,178034.12837643462,165861.4618937438
IRN,manufacturing,iron-and-steel,DRI-EAF,1566873,Mobarakeh Steel Hormuzgan Steel Company plant,175362.2991289477,186805.24460413327,172443.19587862352,160382.43664306516
IRN,manufacturing,iron-and-steel,DRI-EAF,1566878,Pasargad Steel Complex Fars,175362.2991289477,186805.24460413327,172443.19587862352,160382.43664306513
AUS,manufacturing,aluminum,Refinery,3672950,AUS-Gladstone,178206.34823641743,179778.2507769119,167794.60147897506,161623.56875862944
IRN,manufacturing,iron-and-steel,"DRI-EAF,EAF",38089124,Kish South Kaveh Steel Hormuzgan plant,167129.3273388564,178035.04532694397,164347.27118948635,152852.7447818883
IRN,manufacturing,iron-and-steel,DRI-EAF,1566874,Khorasan Steel Complex,163671.479187018,174351.56163052435,160946.9828200488,149690.27420019414
ARE,fossil-fuel-operations,oil-and-gas-production,Acid/sour gas,3588772,United Arab Emirates_Rub al Khali_Acid/sour gas,161905.43868133734,171775.16229714054,159247.4300515231,159247.43005152312
CHN,manufacturing,iron-and-steel,"EAF,BF/BOF",32440567,Baoshan Iron and Steel Co Ltd Headquarters,141010.34091288425,149141.68785584022,155532.4216172296,150853.45483261457
CHN,manufacturing,iron-and-steel,BF/BOF,1566560,Wuhan Iron and Steel Co Ltd,137457.78239892086,155166.5852886374,143310.60623017017,157593.46858485264
PRK,manufacturing,iron-and-steel,"BOF,DRI-EAF",32440876,Ch'ŏngjin Ironworks steel plant,325948.0280633916,289681.9296486213,139022.25484096573,229355.39304856557
MEX,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588404,Mexico_OtherBasins_OtherResources,156139.3841154802,143477.3373808033,138199.46845540486,138199.4684554049
IRN,manufacturing,iron-and-steel,DRI-EAF,1567238,Chadormalu Mining & Industrial Company Yazd plant,140289.83930315817,149444.19568330664,137954.55670289896,128305.94931445214
IRN,manufacturing,iron-and-steel,DRI-EAF,1566886,Bafgh Mineral Complex Iron & Steel Yazd plant,140289.83930315817,149444.19568330664,137954.55670289896,128305.94931445214
IRN,manufacturing,iron-and-steel,DRI-EAF,1566880,Jahan Foolad Sirjan Steel Kerman plant,140289.83930315817,149444.19568330664,137954.55670289896,128305.94931445213
RUS,manufacturing,iron-and-steel,"BF/BOF,EAF",32440965,Evraz ZSMK steel plant,140124.0607343291,137408.97052099858,135974.4439008716,129580.02775473817
MEX,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588691,Mexico_Sabinas - Rio Grande_Conventional onshore,148398.28197545797,143154.59568261934,132387.51887426886,132387.51887426886
IRN,fossil-fuel-operations,oil-and-gas-transport,Conventional shelf,3588372,Iran_Rub al Khali_Conventional shelf,129470.82740607491,127924.1356823664,130322.19189256203,130322.19189256201
MEX,fossil-fuel-operations,oil-and-gas-transport,Conventional shelf,3588407,Mexico_Salinas - Sureste_Conventional shelf,157272.64199496838,158519.5024292082,130239.47904363147,130239.47904363148
CHN,manufacturing,iron-and-steel,BF/BOF,1566628,Rizhao Steel Holding Group Co Ltd,88476.46452036945,94356.0910587805,127413.95303053086,129667.68511704967
IND,manufacturing,iron-and-steel,"EAF,BF/BOF",32440777,JSW Steel Vijayanagar steel plant,110971.30961343338,92157.60806473983,126054.92596684727,125785.7760815756
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440512,Zhangjiagang Hongchang Steel Co Ltd,133647.35518123725,137699.5740826063,124796.80978888553,127393.60985414966
MYS,manufacturing,iron-and-steel,BF/BOF,1567195,Alliance Steel Kuantan plant,135501.1299390778,109949.6723627511,123554.602469331,137052.5506556579
CHN,manufacturing,iron-and-steel,BF/BOF,1566515,Shougang Jingtang United Iron & Steel Co Ltd,115538.4089732604,128649.92316370652,123173.8626838918,121821.85226068099
IND,manufacturing,iron-and-steel,BF/BOF,1566853,Tata Steel Jamshedpur steel plant,125818.9788251363,105744.14008115335,119152.32827500804,117875.52264947153
CHN,manufacturing,iron-and-steel,BF/BOF,1566499,Baosteel Zhanjiang Iron & Steel Co Ltd,106293.97969611664,110070.3375818738,118890.70452393728,90977.48348735475
AUS,manufacturing,aluminum,Refinery,3672946,AUS-Murray,124619.82394155065,125719.05648735099,117338.88215312941,113023.47465638422
SAU,fossil-fuel-operations,oil-and-gas-transport,Conventional shelf,3588453,Saudi Arabia_Widyan - North Arabian Gulf_Conventional shelf,77623.75541189757,136247.11313914933,116329.59003445107,116329.59003445109
KOR,manufacturing,iron-and-steel,BF/BOF,1566956,POSCO Gwangyang steel plant,110447.7537357218,108236.98033200817,115233.78917452137,103712.91533873524
IRN,manufacturing,iron-and-steel,DRI-EAF,1566877,Natanz Steel Company Isfahan plant,116908.19941929851,124536.82973608894,114962.13058574924,106921.62442871019
IRN,manufacturing,iron-and-steel,DRI-EAF,1566884,Sirjan Iranian Steel Kerman Plant,116908.19941929851,124536.82973608894,114962.13058574924,106921.62442871019
IRN,manufacturing,iron-and-steel,DRI-EAF,1566883,Arfa Iron and Steel Yazd plant,116908.19941929851,124536.82973608894,114962.13058574924,106921.62442871017
MEX,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588406,Mexico_Salinas - Sureste_Conventional onshore,65787.64854360292,93792.311523232,113864.62877461285,113864.62877461285
IRN,fossil-fuel-operations,oil-and-gas-production,Conventional onshore,3588659,Iran_Widyan - North Arabian Gulf_Conventional onshore,100052.73292560098,109009.10426046167,113584.66036797507,113584.66036797507
CHN,manufacturing,iron-and-steel,BF/BOF,1566507,Guangxi Shenglong Metallurgical Co Ltd,52962.910480685394,87489.11534652155,111055.80449908877,95568.50249648787
CHN,manufacturing,iron-and-steel,BF/BOF,1566505,Liuzhou Iron & Steel Co Ltd(Liuzhou Base),84758.74593395981,89917.66590451862,110812.34035931897,117099.13698026503
ARE,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588485,United Arab Emirates_OtherBasins_OtherResources,88365.49523496191,105304.0257926356,107385.2561002139,107385.25610021388
SRB,manufacturing,iron-and-steel,BF/BOF,1567013,HBIS GROUP Serbia Iron & Steel plant Belgrade,66787.58374332818,104976.95155888716,106361.52630328304,109890.88258775405
AUS,manufacturing,aluminum,Refinery,3672949,AUS-Collie,109665.44506856457,110632.76970886887,103258.2162947539,99460.65769761815
BRA,manufacturing,iron-and-steel,BF/BOF,1566447,ArcelorMittal Tubarão steel plant,101160.49556473586,101629.81735688215,103022.1477787809,105413.93109025221
AUS,manufacturing,iron-and-steel,BF/BOF,1566431,BlueScope Port Kembla steel plant,103350.36838005704,97207.8992746124,102968.25863864044,97718.69261266864
CHN,manufacturing,iron-and-steel,"BF/BOF,EAF",32440544,Bengang Steel Plates Co Ltd,98882.65964613619,94236.95180838875,101694.9513280909,93159.37926757129
QAT,fossil-fuel-operations,oil-and-gas-production,LNG,3588726,Qatar_Rub al Khali_LNG,100948.65889869165,102070.17280928972,101437.08567032067,101437.0856703207
IND,power,electricity-generation,coal,25451489,Vindhyachal power station,87280.0,93720.0,99560.0,99810.0
CHN,manufacturing,iron-and-steel,"BOF,BF/BOF",1567260,Inner Mongolia BaoTou Steel Union Co Ltd,112359.57398902162,145208.34946411566,97844.06568769531,93126.56838333822
QAT,fossil-fuel-operations,oil-and-gas-production,Conventional shelf,3588725,Qatar_Rub al Khali_Conventional shelf,77382.91709640143,95015.3637581024,97486.304693543,97486.30469354299
IRN,manufacturing,iron-and-steel,DRI-EAF,1567203,Ghaenat Steel Complex South Khorasan,101733.93793577423,99629.46378887119,91969.70446859917,85537.29954296806
SAU,fossil-fuel-operations,oil-and-gas-transport,OtherResources,3588451,Saudi Arabia_OtherBasins_OtherResources,61361.26382624411,85439.71234305276,91362.37305077903,91362.37305077903
CHN,manufacturing,iron-and-steel,"BF/BOF,BOF,EAF",38089178,Ma'anshan Iron & Steel Co Ltd,133226.85628491343,128634.59636049918,90604.47721120185,104431.90228825562
AUS,manufacturing,aluminum,Refinery,3672948,AUS-Bunbury,94711.0661955785,95546.48293038674,89177.55043637835,85897.84073885203
IRN,fossil-fuel-operations,oil-and-gas-transport,Conventional onshore,3588374,Iran_Zagros Foldbelt_Conventional onshore,73324.37618880192,78196.19099681327,89140.24421416457,89140.24421416457
CHN,manufacturing,iron-and-steel,BF/BOF,1566584,Nanjing Iron & Steel Co Ltd,87359.72894913804,82698.68566670372,87064.87264661658,92332.60160749558
