continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Seychelles,SYC,2015,agriculture,cropland-fires,non-assets,,,,,,,
Africa,Seychelles,SYC,2015,agriculture,cropland-fires,assets,0.0,31.483111599999994,0.0,0.0,0.0,26.0,inf
Africa,Seychelles,SYC,2015,transportation,international-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2015,transportation,international-aviation,assets,321280.86036976305,1015247.5187684514,35232.0,0.0,0.0,1.0,3.1600000000000006
Africa,Seychelles,SYC,2016,agriculture,cropland-fires,non-assets,,,,,,,
Africa,Seychelles,SYC,2016,agriculture,cropland-fires,assets,0.0,32.985794799999994,0.0,0.0,1.502684,26.0,inf
Africa,Seychelles,SYC,2016,forestry-and-land-use,net-forest-land,non-assets,,,,,,,
Africa,Seychelles,SYC,2016,forestry-and-land-use,net-forest-land,assets,0.0,359903.872258184,0.0,0.0,0.0,2.0,inf
Africa,Seychelles,SYC,2016,forestry-and-land-use,net-shrubgrass,non-assets,,,,,,,
Africa,Seychelles,SYC,2016,forestry-and-land-use,net-shrubgrass,assets,0.0,78127.57247618,0.0,0.0,0.0,2.0,inf
Africa,Seychelles,SYC,2016,forestry-and-land-use,net-wetland,non-assets,,,,,,,
Africa,Seychelles,SYC,2016,forestry-and-land-use,net-wetland,assets,0.0,332895.018466952,0.0,0.0,0.0,2.0,inf
Africa,Seychelles,SYC,2016,transportation,domestic-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2016,transportation,domestic-aviation,assets,9736.932275645962,30768.705991041243,200352.0,0.0,0.0,2.0,3.16
Africa,Seychelles,SYC,2017,agriculture,cropland-fires,non-assets,,,,,,,
Africa,Seychelles,SYC,2017,agriculture,cropland-fires,assets,0.0,33.0146,0.0,0.0,0.028806,26.0,inf
Africa,Seychelles,SYC,2017,forestry-and-land-use,net-forest-land,non-assets,,,,,,,
Africa,Seychelles,SYC,2017,forestry-and-land-use,net-forest-land,assets,0.0,30516.930514336,0.0,0.0,-329386.941744,2.0,inf
Africa,Seychelles,SYC,2017,forestry-and-land-use,net-shrubgrass,non-assets,,,,,,,
Africa,Seychelles,SYC,2017,forestry-and-land-use,net-shrubgrass,assets,0.0,-37650.315718176,0.0,0.0,-115777.888194,2.0,-inf
Africa,Seychelles,SYC,2017,forestry-and-land-use,net-wetland,non-assets,,,,,,,
Africa,Seychelles,SYC,2017,forestry-and-land-use,net-wetland,assets,0.0,39612.131744384,0.0,0.0,-293282.886722,2.0,inf
Africa,Seychelles,SYC,2017,transportation,domestic-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2017,transportation,domestic-aviation,assets,11725.608549002021,37052.92301484638,241272.0,1988.676274,6284.217024,2.0,3.1599999999999997
Africa,Seychelles,SYC,2017,transportation,international-aviation,non-assets,,,,,,,
Africa,Seychelles,SYC,2017,transportation,international-aviation,assets,470063.1440009572,1485399.535043025,47670.0,148782.283631,470152.016275,1.0,3.1600000000000006
Africa,Seychelles,SYC,2018,agriculture,cropland-fires,non-assets,,,,,,,
Africa,Seychelles,SYC,2018,agriculture,cropland-fires,assets,0.0,32.9569968,0.0,0.0,-0.057605,26.0,inf
Africa,Seychelles,SYC,2018,forestry-and-land-use,net-forest-land,non-assets,,,,,,,
Africa,Seychelles,SYC,2018,forestry-and-land-use,net-forest-land,assets,0.0,118396.569488524,0.0,0.0,87879.638974,2.0,inf
Africa,Seychelles,SYC,2018,forestry-and-land-use,net-shrubgrass,non-assets,,,,,,,
Africa,Seychelles,SYC,2018,forestry-and-land-use,net-shrubgrass,assets,0.0,-36822.325825304,0.0,0.0,827.989892,2.0,-inf
Africa,Seychelles,SYC,2018,forestry-and-land-use,net-wetland,non-assets,,,,,,,
Africa,Seychelles,SYC,2018,forestry-and-land-use,net-wetland,assets,0.0,-167689.311828612,0.0,0.0,-207301.443572,2.0,-inf
Africa,Seychelles,SYC,2018,transportation,domestic-aviation,non-assets,,,,,,,
