continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Algeria,DZA,2021,agriculture,enteric-fermentation-cattle-pasture,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,manure-left-on-pasture-cattle,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
Africa,Algeria,DZA,2021,agriculture,synthetic-fertilizer-application,assets,85826.95910372821,0.0,40844924.854209885,0.0,0.0,1483,0.0
Africa,Algeria,DZA,2021,buildings,non-residential-onsite-fuel-usage,assets,10398778676.884651,0.2502840865653181,100959212.52984,0.0,0.0,1214,2.4068604048826645e-11
Africa,Algeria,DZA,2021,buildings,residential-onsite-fuel-usage,assets,141645203062.54196,23038.332757774835,1821795832.1712,0.0,0.0,1504,1.6264816781407345e-07
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-production,assets,0.0,15584.575913336892,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-refining,assets,196695836.55199257,447.41812356058864,7224000.0,0.0,0.0,6,2.2746700255768896e-06
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,10606.192373587273,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,manufacturing,cement,assets,11129274.870753594,0.0,22839996.0,0.0,0.0,16,0.0
Africa,Algeria,DZA,2021,manufacturing,chemicals,assets,122335.0,0.07896182274923191,138540.0,0.0,0.0,1,6.454556974637832e-07
Africa,Algeria,DZA,2021,manufacturing,iron-and-steel,assets,3967892.4224763755,113.18577517864946,8049999.999999996,0.0,0.0,3,2.85254142822778e-05
Africa,Algeria,DZA,2021,manufacturing,petrochemical-steam-cracking,assets,99081.12553999996,0.14592388355293767,129999.99999999994,0.0,0.0,1,1.4727717590776344e-06
Africa,Algeria,DZA,2021,mineral-extraction,iron-mining,assets,0.0,0.0,3268539646.5008764,0.0,0.0,6,
Africa,Algeria,DZA,2021,power,electricity-generation,assets,81954150.0,5.597556397534331,297404.4,0.0,0.0,44,6.830107319195344e-08
Africa,Algeria,DZA,2021,transportation,domestic-aviation,assets,57176.172798376654,2.2914064770290543,51616.00153827667,0.0,0.0,34,4.0076247934771035e-05
Africa,Algeria,DZA,2021,transportation,domestic-shipping,assets,726226.2359303,59.809563113869075,54446.0,0.0,0.0,18,8.235665437954425e-05
Africa,Algeria,DZA,2021,transportation,international-aviation,assets,67162.87893396652,1.4811022607001247,12328.399999999996,0.0,0.0,34,2.2052393884966142e-05
Africa,Algeria,DZA,2021,transportation,international-shipping,assets,4434273.2539973995,104.88184852815816,9992.0,0.0,0.0,18,2.3652545190716313e-05
Africa,Algeria,DZA,2021,transportation,road-transportation,assets,150921953730.77405,32944.896382092586,5551180.6338254195,0.0,0.0,1504,2.1829094818678384e-07
Africa,Algeria,DZA,2021,waste,domestic-wastewater-treatment-and-discharge,assets,199542345.84679553,0.0,199542345.84679553,0.0,0.0,116,0.0
Africa,Algeria,DZA,2021,waste,industrial-wastewater-treatment-and-discharge,assets,4200000.0,0.0,4200000.0,0.0,0.0,3,0.0
Africa,Algeria,DZA,2021,waste,solid-waste-disposal,assets,5736473.77044,0.0,36177602.451992035,0.0,0.0,97,0.0
Africa,Algeria,DZA,2022,agriculture,enteric-fermentation-cattle-pasture,assets,2328011.9994,0.0,2328011.9994,49763.997839999996,0.0,1416,0.0
Africa,Algeria,DZA,2022,agriculture,manure-left-on-pasture-cattle,assets,2328011.9994,0.0,2328011.9994,49763.997839999996,0.0,1416,0.0
Africa,Algeria,DZA,2022,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
