continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Algeria,DZA,2021,agriculture,enteric-fermentation-cattle-pasture,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,manure-left-on-pasture-cattle,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
Africa,Algeria,DZA,2021,agriculture,synthetic-fertilizer-application,assets,85826.95910372821,0.0,40844924.854209885,0.0,0.0,1483,0.0
Africa,Algeria,DZA,2021,buildings,non-residential-onsite-fuel-usage,assets,10398778676.884651,11.123473371725574,100959212.52984,0.0,0.0,1214,1.0696903662784785e-09
Africa,Algeria,DZA,2021,buildings,residential-onsite-fuel-usage,assets,141645203062.54196,17711.63659314257,1821795832.1712,0.0,0.0,1504,1.2504226200531607e-07
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-production,assets,0.0,67933.67482724633,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-refining,assets,196695836.55199257,61026.865589676665,7224000.0,0.0,0.0,6,0.00031026007799379857
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,46232.73856594946,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,manufacturing,cement,assets,11129274.870753594,0.0,22839996.0,0.0,0.0,16,0.0
Africa,Algeria,DZA,2021,manufacturing,chemicals,assets,122335.0,7.484803645274161,138540.0,0.0,0.0,1,6.118284747025921e-05
Africa,Algeria,DZA,2021,manufacturing,iron-and-steel,assets,3967892.4224763755,29590.152161805818,8049999.999999996,0.0,0.0,3,0.007457397784826661
Africa,Algeria,DZA,2021,manufacturing,petrochemical-steam-cracking,assets,99081.12553999996,13.832147961151449,129999.99999999994,0.0,0.0,1,0.00013960426757129725
Africa,Algeria,DZA,2021,mineral-extraction,iron-mining,assets,0.0,0.0,3268539646.5008764,0.0,0.0,6,
Africa,Algeria,DZA,2021,power,electricity-generation,assets,81954150.0,20313.885776390274,297404.4,0.0,0.0,44,0.0002478689093400429
Africa,Algeria,DZA,2021,transportation,domestic-aviation,assets,57176.172798376654,250.6419947718208,51616.00153827667,0.0,0.0,34,0.004383679118497016
Africa,Algeria,DZA,2021,transportation,domestic-shipping,assets,726226.2359303,469.1401526528,54446.0,0.0,0.0,18,0.0006459972518781682
Africa,Algeria,DZA,2021,transportation,international-aviation,assets,67162.87893396652,53.856922280430695,12328.399999999996,0.0,0.0,34,0.0008018852547012162
Africa,Algeria,DZA,2021,transportation,international-shipping,assets,4434273.2539974,1015.9000796737,9992.0,0.0,0.0,18,0.00022910182153476632
Africa,Algeria,DZA,2021,transportation,road-transportation,assets,150921953730.77405,405874.593512825,5551180.6338254195,0.0,0.0,1504,2.68930121483091e-06
Africa,Algeria,DZA,2021,waste,domestic-wastewater-treatment-and-discharge,assets,199542345.84679553,0.0,199542345.84679553,0.0,0.0,116,0.0
Africa,Algeria,DZA,2021,waste,industrial-wastewater-treatment-and-discharge,assets,4200000.0,0.0,4200000.0,0.0,0.0,3,0.0
Africa,Algeria,DZA,2021,waste,solid-waste-disposal,assets,5736473.77044,0.0,36177602.451992035,0.0,0.0,97,0.0
Africa,Algeria,DZA,2022,agriculture,enteric-fermentation-cattle-pasture,assets,2328011.9994,0.0,2328011.9994,49763.997839999996,0.0,1416,0.0
Africa,Algeria,DZA,2022,agriculture,manure-left-on-pasture-cattle,assets,2328011.9994,0.0,2328011.9994,49763.997839999996,0.0,1416,0.0
Africa,Algeria,DZA,2022,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
