continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Algeria,DZA,2021,agriculture,enteric-fermentation-cattle-pasture,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,manure-left-on-pasture-cattle,assets,2278248.00156,976.532803831782,2278248.00156,0.0,0.0,1416,0.00042863323183565363
Africa,Algeria,DZA,2021,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
Africa,Algeria,DZA,2021,agriculture,synthetic-fertilizer-application,assets,85826.95910372821,17336.3007225514,40844924.854209885,0.0,0.0,1483,0.20199131955262686
Africa,Algeria,DZA,2021,buildings,non-residential-onsite-fuel-usage,assets,10398778676.884651,0.3421641475756844,100959212.52984,0.0,0.0,1214,3.290426291467073e-11
Africa,Algeria,DZA,2021,buildings,residential-onsite-fuel-usage,assets,141645203062.542,380.1059227128011,1821795832.1712,0.0,0.0,1504,2.683507203169946e-09
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-production,assets,0.0,67.93324724335208,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-refining,assets,196695836.55199257,50.96421914392213,7224000.0,0.0,0.0,6,2.591016670068193e-07
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,46.23244757073321,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,manufacturing,cement,assets,11129274.870753592,0.0,22839996.0,0.0,0.0,16,0.0
Africa,Algeria,DZA,2021,manufacturing,chemicals,assets,122335.0,1.809855946481885,138540.0,0.0,0.0,1,1.4794261221088691e-05
Africa,Algeria,DZA,2021,manufacturing,iron-and-steel,assets,3967892.422476375,43.23411516381249,8049999.999999996,0.0,0.0,3,1.0895989749850611e-05
Africa,Algeria,DZA,2021,manufacturing,petrochemical-steam-cracking,assets,99081.12553999996,3.34466960344559,129999.99999999994,0.0,0.0,1,3.375687937754922e-05
Africa,Algeria,DZA,2021,mineral-extraction,iron-mining,assets,0.0,0.0,3268539646.5008764,0.0,0.0,6,
Africa,Algeria,DZA,2021,power,electricity-generation,assets,81954150.0,117.37495471544855,297404.4,0.0,0.0,44,1.4322026976724003e-06
Africa,Algeria,DZA,2021,transportation,domestic-aviation,assets,57176.172798376654,9.462988852415556,51616.00153827667,0.0,0.0,34,0.0001655058110619854
Africa,Algeria,DZA,2021,transportation,domestic-shipping,assets,726226.2359303,8.020112600147922,54446.0,0.0,0.0,18,1.1043545665730614e-05
Africa,Algeria,DZA,2021,transportation,international-aviation,assets,67162.87893396652,6.003369930784808,12328.399999999996,0.0,0.0,34,8.93852381862193e-05
Africa,Algeria,DZA,2021,transportation,international-shipping,assets,4434273.2539973995,24.79473938733091,9992.0,0.0,0.0,18,5.591612868011461e-06
Africa,Algeria,DZA,2021,transportation,road-transportation,assets,150921953730.77405,1607.0551027444385,5551180.6338254195,0.0,0.0,1504,1.0648252709550955e-08
Africa,Algeria,DZA,2021,waste,domestic-wastewater-treatment-and-discharge,assets,199542345.84679556,6007.113800283542,199542345.84679556,0.0,0.0,116,3.0104456148348977e-05
Africa,Algeria,DZA,2021,waste,industrial-wastewater-treatment-and-discharge,assets,4200000.0,135.72455198180904,4200000.0,0.0,0.0,3,3.231536951947834e-05
Africa,Algeria,DZA,2021,waste,solid-waste-disposal,assets,5736473.77044,0.0,36177602.451992035,0.0,0.0,97,0.0
Africa,Algeria,DZA,2022,agriculture,enteric-fermentation-cattle-pasture,assets,2328011.9994,0.0,2328011.9994,49763.997839999996,0.0,1416,0.0
Africa,Algeria,DZA,2022,agriculture,manure-left-on-pasture-cattle,assets,2328011.9994,1011.388918572825,2328011.9994,49763.997839999996,34.856120000000004,1416,0.00043444317247225996
Africa,Algeria,DZA,2022,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
Africa,Algeria,DZA,2022,agriculture,synthetic-fertilizer-application,assets,88782.25060086366,22974.880313967096,53045558.24669014,2955.291488,5638.579605,1483,0.2587778543399935
Africa,Algeria,DZA,2022,buildings,non-residential-onsite-fuel-usage,assets,10503417138.41787,0.32795711206136924,101975120.3874,104638461.53322001,-0.014177,1214,3.1223849128281834e-11
Africa,Algeria,DZA,2022,buildings,residential-onsite-fuel-usage,assets,143119204130.1435,379.3154490772812,1840753980.28752,1474001067.601501,-0.7904789999999999,1504,2.6503462717159595e-09
Africa,Algeria,DZA,2022,fossil-fuel-operations,oil-and-gas-production,assets,0.0,73.14070145953355,0.0,0.0,5.207454,3,inf
Africa,Algeria,DZA,2022,fossil-fuel-operations,oil-and-gas-refining,assets,217046460.90948838,58.547831184659984,7224000.0,20350624.357497,7.583613000000001,6,2.697479191290537e-07
Africa,Algeria,DZA,2022,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,50.0570270079468,0.0,0.0,3.824579,3,inf
Africa,Algeria,DZA,2022,manufacturing,cement,assets,10962942.114026152,0.0,22839996.0,-166332.75672900002,0.0,16,0.0
Africa,Algeria,DZA,2022,manufacturing,chemicals,assets,122335.0,1.853315718854982,138540.0,0.0,0.04346,1,1.5149513376016528e-05
Africa,Algeria,DZA,2022,manufacturing,iron-and-steel,assets,4572969.312724444,53.55793691939562,8049999.999999996,605076.890248,10.323822,3,1.1711851372010922e-05
Africa,Algeria,DZA,2022,manufacturing,petrochemical-steam-cracking,assets,100034.5785,3.457943066183502,129999.99999999994,953.45296,0.113273,1,3.456747774654243e-05
Africa,Algeria,DZA,2022,mineral-extraction,iron-mining,assets,0.0,0.0,3022124010.071004,0.0,0.0,6,
Africa,Algeria,DZA,2022,power,electricity-generation,assets,81799520.0,116.99886026777406,297404.4,-154630.0,-0.37609099999999995,44,1.4303123082846216e-06
