continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Algeria,DZA,2021,agriculture,enteric-fermentation-cattle-pasture,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,manure-left-on-pasture-cattle,assets,2278248.00156,676.1758933743615,2278248.00156,0.0,0.0,1416,0.0002967964387157847
Africa,Algeria,DZA,2021,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
Africa,Algeria,DZA,2021,agriculture,synthetic-fertilizer-application,assets,85826.95910372821,0.0,40844924.854209885,0.0,0.0,1483,0.0
Africa,Algeria,DZA,2021,buildings,non-residential-onsite-fuel-usage,assets,10398778676.884651,1.1876270276199714,100959212.52984,0.0,0.0,1214,1.1420831854609394e-10
Africa,Algeria,DZA,2021,buildings,residential-onsite-fuel-usage,assets,141645203062.542,4689.507850186943,1821795832.1712,0.0,0.0,1504,3.3107424387088766e-08
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-production,assets,0.0,369708.69821430824,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-refining,assets,196695836.55199257,481.5135284226037,7224000.0,0.0,0.0,6,2.4480107808246635e-06
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,251607.84594040873,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,manufacturing,cement,assets,11129274.870753594,0.0,22839996.0,0.0,0.0,16,0.0
Africa,Algeria,DZA,2021,manufacturing,chemicals,assets,122335.0,20.356042111480363,138540.0,0.0,0.0,1,0.0001663958974249427
Africa,Algeria,DZA,2021,manufacturing,iron-and-steel,assets,3967892.422476375,1103.305099620919,8049999.999999996,0.0,0.0,3,0.00027805821885976
Africa,Algeria,DZA,2021,manufacturing,petrochemical-steam-cracking,assets,99081.12553999996,37.61859358424259,129999.99999999994,0.0,0.0,1,0.00037967466941073066
Africa,Algeria,DZA,2021,mineral-extraction,iron-mining,assets,0.0,0.0,3268539646.5008764,0.0,0.0,6,
Africa,Algeria,DZA,2021,power,electricity-generation,assets,81954150.0,2416.9817056407896,297404.4,0.0,0.0,44,2.9491876929243847e-05
Africa,Algeria,DZA,2021,transportation,domestic-aviation,assets,57176.172798376654,13.355313110991965,51616.00153827667,0.0,0.0,34,0.00023358179565616447
Africa,Algeria,DZA,2021,transportation,domestic-shipping,assets,726226.2359303,464.14268664685846,54446.0,0.0,0.0,18,0.0006391158342720695
Africa,Algeria,DZA,2021,transportation,international-aviation,assets,67162.87893396652,17.595720498469444,12328.399999999996,0.0,0.0,34,0.0002619857989674516
Africa,Algeria,DZA,2021,transportation,international-shipping,assets,4434273.2539973995,4378.614448791587,9992.0,0.0,0.0,18,0.0009874480434520726
Africa,Algeria,DZA,2021,transportation,road-transportation,assets,150921953730.77405,335080.7488150794,5551180.6338254195,0.0,0.0,1504,2.2202253584181774e-06
Africa,Algeria,DZA,2021,waste,domestic-wastewater-treatment-and-discharge,assets,199542345.84679553,8.306532986489492,199542345.84679553,0.0,0.0,116,4.162792088686316e-08
Africa,Algeria,DZA,2021,waste,industrial-wastewater-treatment-and-discharge,assets,4200000.0,0.1876775612375098,4200000.0,0.0,0.0,3,4.4685133627978526e-08
