continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Algeria,DZA,2021,agriculture,enteric-fermentation-cattle-pasture,assets,2293413.9296399998,0.0,2293413.9296399998,0.0,0.0,1492,0.0
Africa,Algeria,DZA,2021,agriculture,manure-left-on-pasture-cattle,assets,2293413.92964,109.63412918018426,2293413.92964,0.0,0.0,1492,4.780389957664278e-05
Africa,Algeria,DZA,2021,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1589,
Africa,Algeria,DZA,2021,agriculture,synthetic-fertilizer-application,assets,91713.86497005678,2089.876363869595,43680814.77809461,0.0,0.0,1565,0.022786918472489506
Africa,Algeria,DZA,2021,buildings,non-residential-onsite-fuel-usage,assets,18180153928.02045,3061.3931781139772,176506609.41084,0.0,0.0,1297,1.683920383861853e-07
Africa,Algeria,DZA,2021,buildings,residential-onsite-fuel-usage,assets,212089983497.27643,52863.50009566522,2727838313.0018406,0.0,0.0,1589,2.492503381063447e-07
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-production,assets,0.0,13586.734663636475,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-refining,assets,196695836.55199257,5930.800259579893,7224000.0,0.0,0.0,6,3.0152139280346207e-05
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,9246.547507789082,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,manufacturing,cement,assets,11129274.870753594,0.0,22839996.0,0.0,0.0,16,0.0
Africa,Algeria,DZA,2021,manufacturing,chemicals,assets,122335.0,37.80893981013286,138540.0,0.0,0.0,1,0.0003090606924439683
Africa,Algeria,DZA,2021,manufacturing,iron-and-steel,assets,3967892.4224763745,4642.015231338175,8049999.999999996,0.0,0.0,3,0.0011698944268355637
Africa,Algeria,DZA,2021,manufacturing,petrochemical-steam-cracking,assets,99081.12553999995,69.87208676318869,129999.99999999994,0.0,0.0,1,0.0007052007774677599
Africa,Algeria,DZA,2021,mineral-extraction,iron-mining,assets,0.0,0.0,3268539646.5008764,0.0,0.0,6,
Africa,Algeria,DZA,2021,power,electricity-generation,assets,81954150.0,56870.780000000006,297404.4,0.0,0.0,44,0.0006939341082788365
Africa,Algeria,DZA,2021,transportation,domestic-aviation,assets,57176.17279837665,659.8202238793683,51616.00153827667,0.0,0.0,34,0.011540125747942716
Africa,Algeria,DZA,2021,transportation,domestic-shipping,assets,726226.2359303,11147.947372173601,54446.0,0.0,0.0,18,0.015350515886957756
Africa,Algeria,DZA,2021,transportation,international-aviation,assets,67162.87893396651,505.36975016568243,12328.399999999996,0.0,0.0,34,0.007524539718771646
Africa,Algeria,DZA,2021,transportation,international-shipping,assets,4434273.2539973995,24334.753147463798,9992.0,0.0,0.0,18,0.005487878566240038
Africa,Algeria,DZA,2021,transportation,road-transportation,assets,180994156691.98962,63844.714599800405,6574224.285606053,0.0,0.0,1589,3.5274461765331687e-07
Africa,Algeria,DZA,2021,waste,domestic-wastewater-treatment-and-discharge,assets,199542345.84679553,0.0,199542345.84679553,0.0,0.0,116,0.0
