continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Algeria,DZA,2021,agriculture,enteric-fermentation-cattle-pasture,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,manure-left-on-pasture-cattle,assets,2278248.00156,0.0,2278248.00156,0.0,0.0,1416,0.0
Africa,Algeria,DZA,2021,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
Africa,Algeria,DZA,2021,agriculture,synthetic-fertilizer-application,assets,85826.95910372821,0.0,40844924.854209885,0.0,0.0,1483,0.0
Africa,Algeria,DZA,2021,buildings,non-residential-onsite-fuel-usage,assets,10398778676.884651,2.502840865653062,100959212.52984,0.0,0.0,1214,2.40686040488255e-10
Africa,Algeria,DZA,2021,buildings,residential-onsite-fuel-usage,assets,141645203062.54196,82626.54410966544,1821795832.1712,0.0,0.0,1504,5.833345734495686e-07
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-production,assets,0.0,3116.9153642045667,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-refining,assets,196695836.55199257,408.3826904334758,7224000.0,0.0,0.0,6,2.0762142076430175e-06
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,2121.2385982638602,0.0,0.0,0.0,3,inf
Africa,Algeria,DZA,2021,manufacturing,cement,assets,11129274.870753594,0.0,22839996.0,0.0,0.0,16,0.0
Africa,Algeria,DZA,2021,manufacturing,chemicals,assets,122335.0,0.034256361165386384,138540.0,0.0,0.0,1,2.8002093567160977e-07
Africa,Algeria,DZA,2021,manufacturing,iron-and-steel,assets,3967892.4224763755,39.69171886255313,8049999.999999996,0.0,0.0,3,1.0003224542509495e-05
Africa,Algeria,DZA,2021,manufacturing,petrochemical-steam-cracking,assets,99081.12553999996,0.0633068118693327,129999.99999999994,0.0,0.0,1,6.389391675185921e-07
Africa,Algeria,DZA,2021,mineral-extraction,iron-mining,assets,0.0,0.0,3268539646.5008764,0.0,0.0,6,
Africa,Algeria,DZA,2021,power,electricity-generation,assets,81954150.0,50.79334224165537,297404.4,0.0,0.0,44,6.197775492962269e-07
Africa,Algeria,DZA,2021,transportation,domestic-aviation,assets,57176.172798376654,1.153744274701544,51616.00153827667,0.0,0.0,34,2.0178760106417985e-05
Africa,Algeria,DZA,2021,transportation,domestic-shipping,assets,726226.2359303,45.45884715508918,54446.0,0.0,0.0,18,6.259598580441829e-05
Africa,Algeria,DZA,2021,transportation,international-aviation,assets,67162.87893396652,0.7274359596754063,12328.399999999996,0.0,0.0,34,1.0830922843414883e-05
Africa,Algeria,DZA,2021,transportation,international-shipping,assets,4434273.2539974,79.7173605384186,9992.0,0.0,0.0,18,1.7977548060791053e-05
Africa,Algeria,DZA,2021,transportation,road-transportation,assets,150921953730.77405,10744.909452153664,5551180.6338254195,0.0,0.0,1504,7.119513885515452e-08
Africa,Algeria,DZA,2021,waste,domestic-wastewater-treatment-and-discharge,assets,199542345.84679556,0.0,199542345.84679556,0.0,0.0,116,0.0
Africa,Algeria,DZA,2021,waste,industrial-wastewater-treatment-and-discharge,assets,4200000.0,0.0,4200000.0,0.0,0.0,3,0.0
Africa,Algeria,DZA,2021,waste,solid-waste-disposal,assets,5736473.77044,0.0,36177602.451992035,0.0,0.0,97,0.0
Africa,Algeria,DZA,2022,agriculture,enteric-fermentation-cattle-pasture,assets,2328011.9994,0.0,2328011.9994,49763.997839999996,0.0,1416,0.0
Africa,Algeria,DZA,2022,agriculture,manure-left-on-pasture-cattle,assets,2328011.9994,0.0,2328011.9994,49763.997839999996,0.0,1416,0.0
Africa,Algeria,DZA,2022,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1504,
