continent_ct,country,iso3_country,year,sector,subsector,asset_type,activity,emissions_quantity,capacity,activity_diff,emissions_quantity_diff,count,emissions_factor
Africa,Algeria,DZA,2021,agriculture,enteric-fermentation-cattle-pasture,assets,2293413.9296399998,0.0,2293413.9296399998,0.0,0.0,1492,0.0
Africa,Algeria,DZA,2021,agriculture,manure-left-on-pasture-cattle,assets,2293413.92964,281.23588487502207,2293413.92964,0.0,0.0,1492,0.00012262761695145367
Africa,Algeria,DZA,2021,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1589,
Africa,Algeria,DZA,2021,agriculture,synthetic-fertilizer-application,assets,91713.86497005678,0.0,43680814.77809461,0.0,0.0,1565,0.0
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-production,assets,0.0,0.0,0.0,0.0,0.0,3,
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-refining,assets,196695836.55199257,3299.70866125934,7224000.0,0.0,0.0,6,1.6775691438629555e-05
Africa,Algeria,DZA,2021,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,0.0,0.0,0.0,0.0,3,
Africa,Algeria,DZA,2021,manufacturing,cement,assets,11129274.870753594,3311.1996336160314,22839996.0,0.0,0.0,16,0.0002975215970554801
Africa,Algeria,DZA,2021,manufacturing,chemicals,assets,122335.0,0.22584373830398238,138540.0,0.0,0.0,1,1.8461089492294305e-06
Africa,Algeria,DZA,2021,manufacturing,iron-and-steel,assets,3967892.4224763745,213.86405675029027,8049999.999999996,0.0,0.0,3,5.3898652982334895e-05
Africa,Algeria,DZA,2021,manufacturing,petrochemical-steam-cracking,assets,99081.12553999995,0.41736619320570356,129999.99999999994,0.0,0.0,1,4.212368308605952e-06
Africa,Algeria,DZA,2021,mineral-extraction,iron-mining,assets,0.0,0.0,3268539646.5008764,0.0,0.0,6,
Africa,Algeria,DZA,2021,power,electricity-generation,assets,81954150.0,764.1590000000001,297404.4,0.0,0.0,44,9.324225801866045e-06
Africa,Algeria,DZA,2021,transportation,domestic-aviation,assets,57176.17279837665,0.022137824024332287,51616.00153827667,0.0,0.0,34,3.87186181600473e-07
Africa,Algeria,DZA,2021,transportation,domestic-shipping,assets,726226.2359303,857.5198099507999,54446.0,0.0,0.0,18,0.0011807888059184644
Africa,Algeria,DZA,2021,transportation,international-aviation,assets,67162.87893396651,11.393094313077889,12328.399999999996,0.0,0.0,34,0.0001696337991151243
Africa,Algeria,DZA,2021,transportation,international-shipping,assets,4434273.2539973995,1787.3149020766998,9992.0,0.0,0.0,18,0.0004030682819254485
Africa,Algeria,DZA,2021,transportation,road-transportation,assets,180994156691.98962,2029.9775449933575,6574224.285606053,0.0,0.0,1589,1.1215707634406738e-08
Africa,Algeria,DZA,2021,waste,domestic-wastewater-treatment-and-discharge,assets,199542345.84679553,0.0,199542345.84679553,0.0,0.0,116,0.0
Africa,Algeria,DZA,2021,waste,industrial-wastewater-treatment-and-discharge,assets,4200000.0,0.0,4200000.0,0.0,0.0,3,0.0
Africa,Algeria,DZA,2021,waste,solid-waste-disposal,assets,5736473.77044,0.1873465432241106,36177602.451992035,0.0,0.0,97,3.2658833757683284e-08
Africa,Algeria,DZA,2022,agriculture,enteric-fermentation-cattle-pasture,assets,2343482.10984,0.0,2343482.10984,50068.1802,0.0,1492,0.0
Africa,Algeria,DZA,2022,agriculture,manure-left-on-pasture-cattle,assets,2343482.10984,288.05092722352805,2343482.10984,50068.1802,6.815028,1492,0.0001229157781977668
Africa,Algeria,DZA,2022,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1589,
Africa,Algeria,DZA,2022,agriculture,synthetic-fertilizer-application,assets,94669.15646719222,0.0,55881448.170574866,2955.291488,0.0,1565,0.0
Africa,Algeria,DZA,2022,fossil-fuel-operations,oil-and-gas-production,assets,0.0,0.0,0.0,0.0,0.0,3,
Africa,Algeria,DZA,2022,fossil-fuel-operations,oil-and-gas-refining,assets,217046460.90948838,3813.1717669618083,7224000.0,20350624.357497,513.4631059999999,6,1.756845861933661e-05
Africa,Algeria,DZA,2022,fossil-fuel-operations,oil-and-gas-transport,assets,0.0,0.0,0.0,0.0,0.0,3,
Africa,Algeria,DZA,2022,manufacturing,cement,assets,10962942.114026152,3262.5720535517567,22839996.0,-166332.75672900002,-48.62757900000002,16,0.0002976000438219566
Africa,Algeria,DZA,2022,manufacturing,chemicals,assets,122335.0,0.22315345731234631,138540.0,0.0,-0.00269,1,1.8241178510838788e-06
Africa,Algeria,DZA,2022,manufacturing,iron-and-steel,assets,4572969.312724445,284.0430832480145,8049999.999999996,605076.890248,70.17902699999999,3,6.211348990636234e-05
Africa,Algeria,DZA,2022,manufacturing,petrochemical-steam-cracking,assets,100034.57849999997,0.4163629232502528,129999.99999999994,953.45296,-0.001003,1,4.16219000963005e-06
Africa,Algeria,DZA,2022,mineral-extraction,iron-mining,assets,0.0,0.0,3022124010.0710044,0.0,0.0,6,
Africa,Algeria,DZA,2022,power,electricity-generation,assets,81799520.0,762.7930000000001,297404.4,-154630.0,-1.366,44,9.325152519232388e-06
Africa,Algeria,DZA,2022,transportation,domestic-aviation,assets,62378.535936566055,0.02948635841919625,59382.00176972151,5202.363139,0.007349,34,4.727003924744483e-07
Africa,Algeria,DZA,2022,transportation,domestic-shipping,assets,662931.5239966,882.7400427551,61113.0,-63294.71193199998,25.220235,18,0.0013315704726686484
Africa,Algeria,DZA,2022,transportation,international-aviation,assets,320548.76917774155,54.46864407479527,67981.29999999999,253385.890246,43.075548,34,0.00016992311096534853
Africa,Algeria,DZA,2022,transportation,international-shipping,assets,4741655.708529601,1896.4770994745002,11128.0,307382.45453399996,109.16219699999999,18,0.000399960945300814
Africa,Algeria,DZA,2022,transportation,road-transportation,assets,194027539456.18298,1915.8244009042774,6923410.218646682,13033382764.193333,-114.15316,1589,9.873981839247752e-09
Africa,Algeria,DZA,2022,waste,domestic-wastewater-treatment-and-discharge,assets,202725713.3314268,0.0,202725713.3314268,3183367.4846340003,0.0,116,0.0
Africa,Algeria,DZA,2022,waste,industrial-wastewater-treatment-and-discharge,assets,4200000.0,0.0,4200000.0,0.0,0.0,3,0.0
Africa,Algeria,DZA,2022,waste,solid-waste-disposal,assets,5736473.77044,0.1873465432241106,36177602.451992035,0.0,0.0,97,3.2658833757683284e-08
Africa,Algeria,DZA,2023,agriculture,enteric-fermentation-cattle-pasture,assets,2318492.58084,0.0,2318492.58084,-24989.529000000002,0.0,1492,0.0
Africa,Algeria,DZA,2023,agriculture,manure-left-on-pasture-cattle,assets,2318492.58084,284.97935494606855,2318492.58084,-24989.529,-3.071561,1492,0.0001229157933482881
Africa,Algeria,DZA,2023,agriculture,rice-cultivation,assets,0.0,0.0,0.0,0.0,0.0,1589,
Africa,Algeria,DZA,2023,agriculture,synthetic-fertilizer-application,assets,94081.96647066984,0.0,55592679.83007986,-587.1900039999999,0.0,1565,0.0
