city_id,name,geometry
ghs-fua_1,Herat,POINT (62.20867159891277 34.3465845522498)
ghs-fua_1040,Sheberghan,POINT (65.76103446628731 36.666996069720575)
ghs-fua_1154,Sar-e Pol,POINT (65.93902114057268 36.217348256207245)
ghs-fua_1263,Lashkar Gah,POINT (64.35767605073693 31.58311345211064)
ghs-fua_1366,Girishk,POINT (64.56925664067752 31.81264379418476)
ghs-fua_1465,Mazar i sharif,POINT (67.10747613723944 36.71168612769045)
ghs-fua_1559,Kandahar,POINT (65.73173009898622 31.61573427091896)
ghs-fua_1650,Samangan,POINT (68.0315242512114 36.26900139014224)
ghs-fua_1740,Kunduz,POINT (68.87397737293745 36.72971278666185)
ghs-fua_1827,Puli Khumri,POINT (68.70447591352954 35.95945025273411)
ghs-fua_1909,Khanabad,POINT (69.10184083070871 36.678417849819255)
ghs-fua_192,Guzarah,POINT (62.22126565158046 34.22271915532938)
ghs-fua_1988,Chaman,POINT (66.44510374451653 30.9209216881919)
ghs-fua_2138,Taloqan,POINT (69.54987871716766 36.73196466816716)
ghs-fua_2212,Charikar,POINT (69.17485591172975 35.02323037412884)
ghs-fua_2283,Ghazni,POINT (68.415480005228 33.537532757171874)
ghs-fua_2352,Kabul,POINT (69.15820707484077 34.52154957882607)
ghs-fua_2420,Bagram,POINT (69.25825211702823 34.93612962127764)
ghs-fua_2553,Fayzabad,POINT (70.57796452524279 37.11437367653973)
ghs-fua_2619,Pul-i-Alam,POINT (69.02315655373303 34.027105210912964)
ghs-fua_2683,Mihtarlam,POINT (70.20461024087886 34.678277158517254)
ghs-fua_2745,Jalalabad,POINT (70.4540093377441 34.42749238864415)
ghs-fua_2805,Khost,POINT (69.9417651003674 33.339541669392965)
ghs-fua_354,Shindand,POINT (62.159005329612405 33.30551115874918)
ghs-fua_505,Qala i Naw,POINT (63.12919935285756 34.987880668314986)
ghs-fua_648,Farah,POINT (62.101115589254036 32.372529615598474)
ghs-fua_784,Zaranj,POINT (61.85912212833192 30.958225602683477)
ghs-fua_916,Maymana,POINT (64.78468857124987 35.919506444717854)
ghs-fua_1041,Lobito,POINT (13.562256205801125 -12.392179831523693)
ghs-fua_1155,Caxito,POINT (13.667470555162424 -8.574089460797238)
ghs-fua_1264,Porto Amboim,POINT (13.774426106405341 -10.744561865959726)
ghs-fua_1367,Sumbe,POINT (13.850912307729168 -11.208438307655864)
ghs-fua_1466,Bocoio,POINT (14.1295919826254 -12.470789039496832)
ghs-fua_1560,Cubal,POINT (14.26090430610559 -13.033921269605973)
ghs-fua_1651,Vila Nova do Seles,POINT (14.302528781977053 -11.405835809605668)
ghs-fua_1741,M'banza Congo,POINT (14.239568994337775 -6.251443910474896)
ghs-fua_1828,Gabela,POINT (14.380836644895751 -10.862448929381554)
ghs-fua_1910,Quipungo,POINT (14.540914515571618 -14.821042832605992)
ghs-fua_193,Cabinda,POINT (12.221052060623844 -5.588570927603254)
ghs-fua_1989,Ganda,POINT (14.63823224996038 -13.016002361206944)
ghs-fua_2,Namibe,POINT (12.149136099226162 -15.19578110367379)
ghs-fua_2064,Balombo,POINT (14.77686134253413 -12.350555510030418)
ghs-fua_2139,Matala,POINT (15.018822152276684 -14.74225891849599)
ghs-fua_2213,Calulo,POINT (14.89552850040171 -10.00011590598363)
ghs-fua_2284,N'dalatando,POINT (14.929189897579256 -9.298873907378761)
ghs-fua_2353,Caconda,POINT (15.059130648059211 -13.740416631373387)
ghs-fua_2421,Waku Kungo,POINT (15.11895045036254 -11.363233432619158)
ghs-fua_2488,Uíge,POINT (15.0552241697764 -7.604651278195473)
ghs-fua_2554,Negage,POINT (15.270192458476192 -7.768870508720121)
