iso3_country,geometry
ABW,POINT (-69.97027575603035 12.509315424519292)
AFG,POINT (66.02958983455923 33.82839950897369)
AGO,POINT (17.54731026431044 -12.297692770437482)
AIA,POINT (-63.054860065629576 18.22041229871983)
ALA,POINT (20.164789704881713 60.20196836999029)
ALB,POINT (20.062786787022826 41.14066321823399)
AND,POINT (1.5752088394553767 42.54382680014318)
ARE,POINT (54.33197298491516 23.91516774747197)
ARG,POINT (-65.16327205704181 -35.38488368361397)
ARM,POINT (44.93878012849153 40.294332844575464)
ASM,POINT (-170.3749845738138 -14.223382530185987)
ATA,POINT (19.87252594224805 -80.50695686876593)
ATF,POINT (68.62745864573421 -48.97706272792009)
ATG,POINT (-61.79826789454958 17.270961048524438)
AUS,POINT (134.49103760617902 -25.729059118632776)
AUT,POINT (14.142130592440134 47.58757184862118)
AZE,POINT (47.53025331825683 40.287484255028524)
BDI,POINT (29.889816180880548 -3.367655269190429)
BEL,POINT (4.662170790769638 50.640943445610894)
BEN,POINT (2.3409291900354186 9.654466468229987)
BES,POINT (-67.66821256817326 12.823158704732016)
BFA,POINT (-1.7460095743114086 12.276175874348262)
BGD,POINT (90.27738310665386 23.836763808114235)
BGR,POINT (25.224652216368085 42.755920791414525)
BHR,POINT (50.56073425962284 26.03876295872926)
BHS,POINT (-76.64653217121331 24.259336579753324)
BIH,POINT (17.788758957629845 44.17563914470299)
BLM,POINT (-62.832202947703315 17.90473183716819)
BLR,POINT (28.055907894825967 53.5454647895835)
BLZ,POINT (-88.69064174834321 17.210275258356376)
BMU,POINT (-64.76718546902063 32.30941309976968)
BOL,POINT (-64.65735304353143 -16.716372139794917)
BRA,POINT (-53.07028364723311 -10.779810978395716)
BRB,POINT (-59.55638951941854 13.172262076134883)
BRN,POINT (114.75608502680134 4.5281576043773875)
BTN,POINT (90.42840740219143 27.395671713427625)
BVT,POINT (3.382171127693038 -54.428321055127476)
BWA,POINT (23.81353332232305 -22.188060672685292)
CAF,POINT (20.48553233835108 6.574471613514968)
CAN,POINT (-98.26930282106981 61.367440331994)
CCK,POINT (96.8622363257036 -12.13457644084381)
CHE,POINT (8.229784569419007 46.80098660274844)
CHL,POINT (-71.38919526177342 -38.03986693336084)
CHN,POINT (103.85103916006638 36.56074336781306)
CIV,POINT (-5.555421621431435 7.625570709407295)
CMR,POINT (12.741503683220747 5.693973492207704)
COD,POINT (23.660252578784306 -2.8812296731715734)
COG,POINT (15.244665920387558 -0.8332586570788169)
COK,POINT (-159.25198284361605 -19.09542104783139)
COL,POINT (-73.07848023586101 3.8983735829331545)
COM,POINT (43.683954922770475 -11.89429225309289)
CPV,POINT (-23.97819672449317 15.947377673349767)
CRI,POINT (-84.19577692542786 9.972612626942952)
CUB,POINT (-79.0297965603637 21.625476679748196)
CUW,POINT (-68.97154391172094 12.193377857274772)
CXR,POINT (105.63655313432287 -10.48534406104388)
CYM,POINT (-80.87358438645003 19.42543631810442)
CYP,POINT (33.00305198753079 34.92672214217763)
CZE,POINT (15.33018829989383 49.74055578294506)
DEU,POINT (10.394235886469259 51.10989550925564)
DJI,POINT (42.5654352509049 11.727384824622291)
DMA,POINT (-61.34998777831859 15.434551484879409)
DNK,POINT (10.055912629646846 55.95776830227537)
DOM,POINT (-70.49288303500815 18.895715842649082)
DZA,POINT (2.677134471307223 28.15832065455578)
ECU,POINT (-78.77443726758395 -1.4258789493976456)
EGY,POINT (29.783659145989414 26.56979904837407)
ERI,POINT (38.85727126526841 15.381915252068977)
ESH,POINT (-13.134732306060474 24.679022465279647)
ESP,POINT (-3.647061329429458 40.22689843187332)
EST,POINT (25.54970280871927 58.67063372364698)
ETH,POINT (39.62501956557627 8.62867216792204)
FIN,POINT (26.24620268020331 64.48574530749245)
FJI,POINT (161.80036769543926 -17.445626218412364)
FLK,POINT (-59.395270100087615 -51.74123327157256)
FRA,POINT (2.553552057064248 46.55891399068149)
FRO,POINT (-6.890424333572199 62.069195995322694)
FSM,POINT (154.64917316990142 7.081243664532053)
GAB,POINT (11.784988894234404 -0.6233569376422103)
GBR,POINT (-2.8969754888779677 54.15854276832776)
GEO,POINT (43.51927204647389 42.17697642741209)
GGY,POINT (-2.5147717102762273 49.485932288336045)
GHA,POINT (-1.2081343782734757 7.969593257378333)
GIB,POINT (-5.349237559856074 36.136502886573034)
GIN,POINT (-10.936959569689137 10.436253557346358)
GLP,POINT (-61.5393051096321 16.1976794213548)
GMB,POINT (-15.372909799195078 13.451482368221798)
GNB,POINT (-14.982345870993546 12.014623890172658)
GNQ,POINT (10.332331000035444 1.7016634668943433)
GRC,POINT (22.98599110219172 39.04158754062725)
GRD,POINT (-61.65864489531266 12.153363752322528)
GRL,POINT (-41.48558830105908 74.67724126386489)
GTM,POINT (-90.354585698269 15.697393561111662)
GUF,POINT (-53.23095125118065 3.930452072736494)
GUM,POINT (144.77695080565488 13.44339325614529)
GUY,POINT (-58.97967280273142 4.793326908137353)
HKG,POINT (114.13496483690463 22.381120814297667)
HMD,POINT (73.51061823118573 -53.09260550452123)
HND,POINT (-86.61620055352066 14.818248187001203)
HRV,POINT (16.39062146452211 45.02691680514725)
HTI,POINT (-72.68393839972367 18.937391855362858)
HUN,POINT (19.41443849749212 47.16728979851303)
IDN,POINT (117.30292719064889 -2.2366185029380157)
IMN,POINT (-4.539158766734551 54.22757983219938)
IND,POINT (79.6226574781203 22.877964090148534)
IOT,POINT (72.12069958913425 -6.682926041494953)
IRL,POINT (-8.155342604151794 53.17558376900704)
IRN,POINT (54.30405192041511 32.55725285276038)
IRQ,POINT (43.775456735047605 33.047965763877244)
ISL,POINT (-18.581325970505752 64.98317814196767)
ISR,POINT (35.013168686664955 31.455681614847133)
ITA,POINT (12.078197343722202 42.78942391508048)
JAM,POINT (-77.31031155567919 18.156889430425952)
JEY,POINT (-2.132466665070213 49.21382317771874)
JOR,POINT (36.78686053357905 31.245711077211038)
JPN,POINT (137.94944277758174 37.53119647403179)
KAZ,POINT (67.25515661055782 48.15738316211495)
KEN,POINT (37.84566799745667 0.5527409113409197)
KGZ,POINT (74.53566412703348 41.46529250758747)
KHM,POINT (104.91621967171133 12.710347712810297)
KIR,POINT (-39.19717599591899 0.564678330226496)
KNA,POINT (-62.701341051492555 17.271858445527716)
KOR,POINT (127.7892780938928 36.35321774247425)
KWT,POINT (47.612265451957995 29.353032390920504)
LAO,POINT (103.76658843350447 18.497465116854688)
LBN,POINT (35.8917019105895 33.9195662665537)
LBR,POINT (-9.307268555541894 6.445287664007331)
LBY,POINT (18.031154220770613 27.040318125622274)
LCA,POINT (-60.96675750776462 13.898366089692706)
LIE,POINT (9.553535183629963 47.14117690084242)
LKA,POINT (80.69786829896844 7.621671707860408)
LSO,POINT (28.246684141401897 -29.5829616726829)
LTU,POINT (23.9048374352217 55.33478811025523)
LUX,POINT (6.094189194586862 49.77649887930032)
LVA,POINT (24.93158495164983 56.85330089037731)
MAC,POINT (113.56059149573491 22.16066675916242)
MAF,POINT (-63.060261680993186 18.07951314341575)
MAR,POINT (-6.276109160009557 31.84656177197235)
MCO,POINT (7.423268844774752 43.73567919356251)
MDA,POINT (28.468526374089215 47.204111846166185)
MDG,POINT (46.698618356092965 -19.37564815173127)
MDV,POINT (73.22535980446418 3.7180336676126124)
MEX,POINT (-102.54756158929936 23.951492557862615)
MHL,POINT (168.9954835892229 8.660981012102031)
MKD,POINT (21.688391819163833 41.59378351676386)
MLI,POINT (-3.5221528650456264 17.356250796052024)
MLT,POINT (14.399767222632807 35.9229296884475)
MMR,POINT (96.51020132757515 21.117142475932077)
MNE,POINT (19.237122495636246 42.77731875740478)
MNG,POINT (103.06702896635102 46.83639072219931)
MNP,POINT (145.60040586424466 16.01238132491676)
MOZ,POINT (35.550712501825004 -17.258923908996625)
MRT,POINT (-10.337091849513738 20.265150559889538)
MSR,POINT (-62.18968496512914 16.739452011149993)
MTQ,POINT (-61.01775540977324 14.652637139977015)
MUS,POINT (57.89582404633338 -20.119773244068426)
MWI,POINT (34.30220004508739 -13.213885913045418)
MYS,POINT (109.71140765380504 3.7939322872885475)
MYT,POINT (45.14840445784606 -12.821220056951002)
NAM,POINT (17.22205010978081 -22.13858466487242)
NCL,POINT (165.69984782175555 -21.306403393326352)
NER,POINT (9.401243180794536 17.42437073238386)
NFK,POINT (167.95233170349232 -29.038244029853793)
NGA,POINT (8.09757500646277 9.592267701675834)
NIC,POINT (-85.03843875134532 12.844488651295475)
NIU,POINT (-169.8585490664356 -19.052414158518054)
NLD,POINT (5.5736507873325305 52.26301804806406)
NOR,POINT (14.06969173938197 64.45839804585096)
NPL,POINT (83.9460823156196 28.259041247758777)
NRU,POINT (166.93448366829276 -0.5284704267387783)
NZL,POINT (171.47088096640465 -41.82591977554695)
OMN,POINT (56.09725755220661 20.58923482309716)
PAK,POINT (69.39831250844254 29.9637465534136)
PAN,POINT (-80.09884945032611 8.510229503539296)
PCN,POINT (-128.4954790267881 -24.426176363396994)
PER,POINT (-74.35821811157426 -9.17250526769003)
